stage,endoderm,epidermis,erythrocytes,eye,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,1,3,0,0,0,0,0,1,1,0,0,1,0,0,0
 24-34,0,0.82,0,0,0,0,0.82,0,0,0,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,2.42,0,0,1.61,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,1.15,0,0.57,1.72,0.57,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0
 72-82,0,0,1.96,0,0,0,3.93,0.98,0,0,0,0,0,0,0
 84-94,0,1.06,0,0,1.06,0,0,0,0,0,0,0,4.25,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,1.09,2.19,0,1.09,0,0
108-118,0,0.77,0,0,0,1.53,0,0,0,0,0,0,2.3,0,0.77
120,0,0,0,0,1.96,0,0,0,0,1.96,1.96,0,1.96,0,0
