stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,70.98,0,0,26.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.17,0,0,22.03,18.88,0,0,0,0,0,0,0,0,0
 14-21,0,1,8,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,11,0,0,0,9,2,0,0,1,2,0,0,0,0
 24-34,0,0,10.67,0,0.82,0,0,1.64,0,0,0.82,0,0,0,1.64,0.82,4.1,0,0,0.82,4.93,0.82,0,0,22.98,0,0,0,0,1.64,0,0,2.46,0.82
 36-46,0,0,8.86,0,0.81,0,0,0,0,0,0,0,0,0,0,0,12.09,0.81,0,2.42,3.22,1.61,0,0,8.86,0,0,0,0,3.22,0,0,4.03,0.81
 48-58,0,0,3.44,0.57,1.15,0,1.15,0,0,0,0,0,0,0,0,0.57,13.2,0,0.57,3.44,2.3,0,0,0,2.3,0,0,0.57,0,1.72,0,0,2.87,0
 60-70,0,0,5.89,0,1.96,2.94,0,3.93,0.98,0,0,0,0,0,0,0,13.74,0,0,0.98,5.89,0,0.98,0,3.93,0,0,0,0,1.96,0,0,1.96,0
 72-82,0,0,2.94,0,0.98,2.94,1.96,5.89,0.98,0,2.94,0,0,0,0,0.98,22.58,0,0,2.94,4.91,0.98,0,0,0.98,0,0,0,0,0.98,0,0,6.87,0
 84-94,0,0,15.93,2.12,2.12,5.31,0,3.19,2.12,0,0,2.12,2.12,0,1.06,1.06,13.81,0,3.19,1.06,5.31,0,3.19,0,4.25,0,0,0,0,1.06,0,0,5.31,1.06
 96-106,0,0,9.84,0,3.28,4.37,0,12.02,0,0,1.09,0,0,0,2.19,0,18.58,0,1.09,0,10.93,2.19,2.19,0,3.28,0,0,0,0,0,0,2.19,3.28,0
108-118,0,0,12.26,0,0.77,4.6,0,7.66,4.6,0,1.53,0,0,0.77,0.77,2.3,19.15,0,0,0,5.36,0,2.3,0,1.53,0,0.77,0,0,0,0,0.77,3.83,0
120,0,0,7.84,1.96,1.96,0,0,1.96,3.92,0,0,1.96,0,0,0,3.92,25.48,1.96,0,0,3.92,0,0,0,0,0,0,0,0,1.96,1.96,0,3.92,1.96
