stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,909.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,980.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,15.77,0,13.14,0,0,0,47.32,0,0,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0,389.05,7.89,0,0,141.95,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,3.15,0,37.76,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,267.49,9.44,0,0,125.88,0,3.15,0,0,22.03,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,13,5,0,10,0,0,2,2,0,0,0,0,0,0,0,0,6,0,0,7,103,1,1,0,3,0,2,0,13,0,1,14,50,0,0,2,0,0
 24-34,0,0,0.82,0,4.93,0,0,11.49,0.82,0,3.28,0,0,0,0,2.46,0,0,0,0,12.31,0,0,8.21,155.14,0,0.82,0.82,0,0,2.46,0,0,0,0,1.64,45.15,0,0,0.82,0,0.82
 36-46,0,0,0,0,3.22,0,0,35.45,0.81,0,1.61,0,0,0,0,0.81,0,0,0,1.61,20.14,0,0,1.61,170,1.61,1.61,0,0,0,6.45,0,0,0.81,0.81,0,29,0,0,0.81,0,2.42
 48-58,0,0,0,0,2.3,0,0,36.15,0,0,6.89,0,0,1.72,0,0,0,0,0,0,16.64,0,0.57,1.72,111.89,0.57,0,0.57,0,0,1.15,0,0,0.57,0,0,26.4,0,0,1.72,0,1.15
 60-70,0,0,0,0,0,0,0,65.76,0.98,0.98,4.91,0,0,0,0,0.98,0.98,0,0,0,25.52,0,0,4.91,114.84,0,0,0,0,0.98,7.85,0,0,0,0,0,20.61,0,0,0.98,0,0
 72-82,0,0,0.98,0,4.91,0.98,0,46.14,0.98,2.94,15.71,0.98,0,0,0,1.96,0.98,1.96,0,0,21.6,0.98,0,0.98,102.09,0,0,0,0,0,0.98,0,0,0,0,0,8.83,0.98,0,0,1.96,0
 84-94,0,0,0,0,3.19,0,0,29.74,0,1.06,9.56,1.06,0,1.06,1.06,1.06,0,1.06,0,0,25.49,1.06,1.06,2.12,38.23,0,2.12,0,0,0,14.87,0,0,0,0,0,4.25,0,0,3.19,1.06,0
 96-106,0,0,0,0,3.28,0,0,21.86,1.09,1.09,8.74,0,0,2.19,2.19,1.09,0,0,0,0,18.58,2.19,0,1.09,51.36,1.09,2.19,1.09,0,1.09,9.84,0,0,0,0,0,0,0,0,3.28,0,0
108-118,0,0,0,0,2.3,0.77,0,13.79,3.06,0,9.19,1.53,0,0.77,0,2.3,1.53,0,0,0.77,13.02,1.53,1.53,3.06,55.92,1.53,0.77,1.53,0,0,3.83,0,0,0.77,0,0,2.3,1.53,0,3.06,0,0.77
120,0,0,0,0,11.76,0,3.92,27.44,3.92,0,5.88,3.92,0,0,1.96,1.96,1.96,0,1.96,0,27.44,3.92,1.96,5.88,62.71,0,3.92,3.92,0,0,13.72,0,0,0,0,0,0,0,1.96,3.92,0,0
