stage,epidermis,erythrocytes,eye,glial,heart,immune,ionocyte,mesenchyme,muscle,neural,notochord,periderm,spinal.cord
 14-21,0,0,1,0,0,0,0,0,0,4,0,0,1
 24-34,0,0,0,0,0,0.82,0,0,0.82,4.1,0,0,0.82
 36-46,0,0,0,0,0,0.81,0,0.81,0,3.22,0,0,2.42
 48-58,0.57,0,0.57,0,0.57,0,0.57,0,0,2.87,0,0,1.15
 60-70,0,0,0.98,0,0,0.98,0,0,0,11.78,0,0.98,2.94
 72-82,0,0,1.96,0.98,0,5.89,0.98,0,0,9.82,0,0,0
 84-94,0,2.12,2.12,0,0,9.56,1.06,0,0,5.31,0,0,0
 96-106,0,0,1.09,0,0,9.84,1.09,0,0,4.37,0,0,0
108-118,0,0,1.53,0,0,9.19,0,2.3,0,5.36,0.77,0,0
120,0,0,0,0,0,7.84,0,0,0,13.72,0,0,1.96
