stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,melanocytes,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,39.53,619.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0
  5-6,18.39,257.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,36.8,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,9.44,0,0,0,0,0,0,0,0,0,12.59,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8,1,1,0,7,0,0,0,0,0,0,8,0,1,2,0,5,0,0,3,11,0,0,0
 24-34,0,0,0,0,0.82,0.82,0.82,5.75,0,0,0,0,0.82,0,4.93,2.46,3.28,0,1.64,0,0,0.82,0,9.03,0,0,0
 36-46,0,0,0,0.81,0,0,0,0.81,0,0,0,0,2.42,0,12.09,4.83,1.61,0,0.81,0,1.61,0,0,4.03,0,0,0
 48-58,0,0,0,0,0,0.57,0,0.57,0,0,0,0,2.3,0,4.02,4.02,0,0,0.57,0,0.57,0.57,0,4.02,0,0,0
 60-70,0,0,0,0,1.96,0,0,0.98,0,0,0,0,0,0,14.72,9.82,5.89,0,0,0,0.98,0,0,1.96,0,0,0
 72-82,0,0,0,0,2.94,0,0,2.94,0,0,0,0,0,0.98,9.82,16.69,1.96,0,0,0,0,0,0,3.93,0,0,0
 84-94,0,0,0,0,1.06,0,0,5.31,2.12,0,1.06,1.06,0,0,7.43,8.5,6.37,0,1.06,0,1.06,0,0,3.19,0,0,1.06
 96-106,0,0,0,0,0,0,0,1.09,1.09,1.09,0,3.28,0,0,3.28,17.49,7.65,0,2.19,0,0,0,0,2.19,1.09,0,0
108-118,0,0,0,0,2.3,0,0,0.77,1.53,0,0,1.53,0,0.77,8.43,9.19,4.6,0,0.77,0,0,0,0,0,0.77,0,0
120,0,0,0,0,1.96,1.96,0,1.96,0,0,0,3.92,0,0,1.96,3.92,1.96,0,0,0,0,0,0,1.96,0,1.96,0
