stage,blastomeres,epidermis,eye,fast.muscle,glial,hatching.gland,liver,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,5,0,1,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0.82,0,0,0.82,0,0.82,0,0,13.95,0.82,0.82,1.64,0.82,0,0
 36-46,0,0,0,0.81,0,0,0,0.81,0,0,3.22,0,0,0,0,4.03,0,0,0,0,0,0.81
 48-58,0,0,0,0,0.57,0,0,2.3,0,0.57,2.87,0,0,0,0,2.3,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,2.94,0,0,1.96,0,0,0,0,3.93,0,0,0.98,0,0,0
 72-82,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0,0,3.93,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,3.19,1.06,0,2.12,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,2.19,0,1.09,0,0,2.19,0,0,1.09,0,0,0,0,4.37,0,0,1.09,0,2.19,0
108-118,0,0.77,1.53,0,0,0,0.77,2.3,0,0,3.83,0,0,0,0,1.53,0,0,0,0,0.77,0
120,0,0,1.96,0,1.96,0,0,0,0,0,5.88,0,0,1.96,0,1.96,0,0,0,0,0,0
