stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,909.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,12.26,429.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,12.26,0,0,6.13,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.26,0,0,0,34.17,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,3,0,0,4,0,0,0,0,0,0,1,0,1,1,0,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,1.64,0,0.82,9.03,0,0,0,0,0,0.82,0,0,0,3.28,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0.81,0,0,14.5,0,0,0.81,0,0,0,0,0.81,0,0.81,0,0,0
 48-58,0,0,0,0,0.57,0,6.31,0,1.15,0.57,0,0,0.57,0,0.57,6.31,0,0,15.49,0,0,0,0,0.57,1.15,0,0,0,2.87,0,0,0
 60-70,0,0,0,0,0,0,8.83,0,0.98,3.93,0,0,0.98,0,0,11.78,0,0,23.56,0,0,0,0,0,0.98,0,0,0,3.93,0.98,0,0
 72-82,0,0,0,0,0.98,0,8.83,0,0.98,5.89,0,0,0,0,0,50.06,0.98,0.98,10.8,0,0,0.98,0,0,0,0,0,0,2.94,0.98,0,0
 84-94,0,0,0,0,0,0,4.25,0,0,4.25,2.12,0,0,0,0,50.98,0,0,10.62,0,0,1.06,0,0,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,2.19,0,4.37,0,5.46,1.09,1.09,7.65,0,1.09,1.09,0,0,87.43,0,2.19,13.11,0,0,1.09,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,1.53,0,1.53,4.6,0,0.77,0.77,0,0,127.15,1.53,3.06,7.66,0,1.53,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,5.88,1.96,0,0,0,5.88,0,5.88,0,3.92,0,82.31,0,1.96,17.64,0,0,0,0,0,0,0,0,0,0,0,0,1.96
