stage,eye,glial,iridophores,liver,mesenchyme,muscle,neural,otic,paraxial.mesoderm,pericytes,spinal.cord,vasculature,visceral.smooth.muscle
 10-12,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,1,0,0
 24-34,0.82,0,0,0,0,1.64,6.57,0,0,0,0.82,0.82,0
 36-46,2.42,0,0,0,0.81,0.81,1.61,0.81,0,0,0.81,0,0
 48-58,1.15,0,0,0,0,0,3.44,0.57,0,0,1.15,0,0
 60-70,2.94,0,0,0,0.98,0,1.96,0,0,0,0.98,0,0
 72-82,1.96,0.98,0,0,0,0,0,0,0,0,0,0,0.98
 84-94,3.19,2.12,1.06,0,1.06,0,4.25,0,0,1.06,0,0,0
 96-106,1.09,0,0,1.09,0,1.09,2.19,0,0,0,0,1.09,0
108-118,1.53,0,0,0.77,0,0,2.3,0,0,0,0,0,0
120,1.96,0,0,0,0,0,1.96,0,0,0,0,0,0
