stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,2,1,0,2,0
 24-34,0,0.82,0,0,0,0,0.82,0,0,0.82,0,0.82,7.39,0.82,0,0,0,0.82,0,0.82,0,0
 36-46,0,0,0,0,0.81,0.81,0,0,0,2.42,0.81,0,14.5,0,0,0,0,0,0,0,1.61,0.81
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0.57,20.66,0.57,0,0,0,1.15,0,0,4.59,0.57
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,50.06,0,0,0,0,0.98,0,0,1.96,0
 72-82,0,0,0,0.98,2.94,0,2.94,0,0.98,4.91,0,0,48.1,0,0,0.98,0,0,0,0,0,0.98
 84-94,0,0,0,0,2.12,0,2.12,0,0,0,0,0,21.24,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,4.37,0,0,0,0,0,0,0,34.97,0,0,0,0,0,0,0,3.28,0
108-118,0,0,0.77,0,6.89,0,0,0.77,0,1.53,0.77,0,29.87,0,0,1.53,0,0.77,0,0,0,0.77
120,0,0,0,0,1.96,0,3.92,0,0,3.92,0,0,41.16,0,1.96,0,0,0,0,0,0,0
