stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,5.26,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,39.43,2.63,0,0,15.77,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,6.29,0,0,25.18,0,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,2,8,2,1,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,4,81,0,1,0,2,0,0,0,5,0,4,4,29,0,1,0
 24-34,0,0,1.64,0,1.64,0,9.03,0,0,0,0.82,0.82,0,1.64,0.82,0,0,0,0,0,2.46,0,0,5.75,124.77,0,0,0,0,0,0.82,0,0,0.82,0.82,0,59.92,0,1.64,0
 36-46,0,0,0.81,0,0.81,0,6.45,0,0.81,0,4.83,0.81,0,0,0,0,0,0,0,0,4.03,0,0.81,0.81,358.52,0,0,0.81,0,0,0.81,0,0,0,0.81,0,100.71,0,0.81,0
 48-58,0,0,0,0,4.02,1.15,27.54,1.15,1.15,1.15,17.79,0,0,0,0,0,0,0,0,0.57,8.61,0,0,0.57,515.85,0,0,0,0,0,0,0,0,0,0,0,91.23,0,0.57,1.15
 60-70,0,0,1.96,0,1.96,0.98,167.84,0,0,0,33.37,0.98,0,0,0,0,0,0,0.98,0,12.76,0,0,1.96,1146.42,0,0,3.93,0,0,2.94,0,0,0,1.96,0,145.27,0,0.98,0
 72-82,0,0,4.91,0,4.91,9.82,347.51,0,0.98,1.96,45.16,0.98,0,0.98,0,0,0.98,0.98,0,0.98,18.65,0,1.96,1.96,1013.08,0,0,1.96,0,0,0,0,0,0,0,0,80.5,1.96,0.98,0
 84-94,0,0,6.37,0,5.31,4.25,195.41,0,0,0,29.74,1.06,0,1.06,3.19,0,0,0,4.25,1.06,19.12,0,1.06,1.06,505.53,0,1.06,2.12,0,0,2.12,0,0,0,1.06,0,39.3,0,5.31,0
 96-106,0,0,2.19,0,6.56,0,195.62,1.09,0,0,31.69,3.28,0,0,1.09,0,1.09,0,2.19,0,12.02,1.09,0,2.19,440.42,0,1.09,3.28,0,1.09,2.19,0,0,0,1.09,0,29.51,1.09,3.28,1.09
108-118,0,0,3.06,0,7.66,1.53,157.02,0,0.77,0.77,23.74,1.53,0,0.77,0.77,0.77,0.77,0.77,1.53,0,7.66,0,3.06,0.77,425.11,0.77,1.53,3.06,0,0.77,1.53,0,0,0,0,0,14.55,0,0.77,0.77
120,0,0,3.92,0,21.56,0,119.55,0,0,0,25.48,1.96,0,0,0,1.96,0,0,1.96,0,13.72,0,0,7.84,509.54,0,5.88,3.92,0,0,1.96,0,0,1.96,0,0,19.6,0,1.96,0
