stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,26.36,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,59.79,3.15,0,0,28.32,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,8,5,0,3,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,3,49,1,0,1,1,0,0,13,0,0,14,8,0,0,0
 24-34,0,0,0.82,3.28,0,0,9.85,0,0,0,0,0,0,0,0.82,0,0.82,0,0,6.57,0,0,1.64,64.03,0,1.64,0.82,0,0,1.64,0,0,0.82,2.46,12.31,0,1.64,0
 36-46,0,0,0,1.61,0,0,12.89,0,0.81,2.42,0,0,0,0,0,0,0,0.81,0,4.83,0,0,4.03,58.01,0,0,0,0,0,3.22,0,0,0,0,8.86,0,0,0
 48-58,0,0,0,1.72,0,0,27.54,0,0,6.89,0.57,0,1.15,0,0,0,0,0,0.57,9.18,0,0.57,2.3,45.9,0,0.57,0,0,0,1.15,0,0,0,0,6.89,0,1.15,0
 60-70,0,0,0,1.96,0,0,33.37,0,0,4.91,0,0,0,0,0,0,0,0,0,16.69,0,0,3.93,55.95,0,0,0,0,0,4.91,0,0,0,0,5.89,0,2.94,0
 72-82,0,0,0,1.96,0,0,12.76,0.98,0.98,6.87,2.94,0,0,0,0,0,0.98,0,0,17.67,0,1.96,1.96,58.9,0,0,0,0,0,0.98,0,0,0,0,5.89,0,0,0
 84-94,0,0,0,3.19,1.06,0,15.93,0,0,5.31,0,0,1.06,3.19,0,1.06,0,2.12,1.06,12.74,0,2.12,4.25,30.8,1.06,0,3.19,0,0,12.74,0,0,0,0,2.12,0,2.12,0
 96-106,0,0,0,5.46,0,0,8.74,0,0,5.46,2.19,0,0,0,0,2.19,1.09,1.09,0,7.65,0,1.09,4.37,27.32,0,3.28,3.28,0,0,14.21,0,1.09,0,0,3.28,0,1.09,0
108-118,0,0,0.77,6.13,1.53,3.06,11.49,0,0,7.66,1.53,0,0,0.77,0.77,0,0,4.6,0,12.26,0.77,0,1.53,29.87,0,0.77,0.77,0,0.77,6.13,0,1.53,0,0,0,0.77,0,2.3
120,0,0,0,9.8,0,0,9.8,0,0,13.72,1.96,0,0,1.96,0,0,1.96,0,0,9.8,0,0,7.84,27.44,0,0,0,0,0,7.84,0,1.96,0,0,0,0,0,1.96
