stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,281.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,15.77,0,7.89,0,0,0,60.46,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,291.79,21.03,0,0,84.12,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,25.18,0,0,0,31.47,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,289.52,37.76,0,0,88.12,6.29,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,3,19,28,0,15,0,0,0,6,1,2,0,0,2,0,0,0,0,17,0,0,11,170,3,0,4,8,1,1,22,8,4,18,85,0,0,0,0,0
 24-34,0,0,0.82,0,3.28,9.03,0,16.42,0,0.82,0,5.75,0.82,0.82,0,0,0.82,0,0,1.64,0,7.39,0,0,3.28,284.84,0,4.1,2.46,0,0,0,0,4.1,0,1.64,114.92,0,0,4.93,0,0
 36-46,0,0,0,0,0.81,9.67,0,82.18,0,0,0.81,7.25,0,0,0.81,0.81,0,0,0,0,0,8.06,0,0,0.81,539.8,0,6.45,0,0,1.61,0,0,4.03,0,0,176.44,0,0,0.81,0,0.81
 48-58,0,0,0,0,1.72,22.38,0,147.47,0.57,0,1.15,30.41,0,0,0.57,0,0,0,0.57,2.3,0.57,23.53,0.57,0,1.72,552,0,1.72,1.15,0,1.15,0,0,5.16,0,0,165.26,0,0,1.15,0,1.15
 60-70,0,0,1.96,0,0,44.17,0,352.37,0,0,2.94,27.48,0.98,0,1.96,0,0.98,0,0,4.91,0,24.54,0,0.98,1.96,743.01,0,0.98,0,0,0,0,0,3.93,0,0,167.84,0,0,2.94,0,0
 72-82,0,0,0.98,0,5.89,77.55,0,358.31,0,0,1.96,40.25,0.98,0,2.94,1.96,0,0.98,0.98,11.78,0,36.32,0.98,0.98,6.87,632.19,0,1.96,0.98,0,0,0,0,7.85,0,0,92.28,0,0.98,3.93,0.98,0
 84-94,0,0,1.06,0,11.68,65.85,0,267.63,0,0,2.12,32.92,7.43,0,0,6.37,0,0,1.06,48.85,0,24.43,0,2.12,7.43,365.34,0,4.25,9.56,0,6.37,0,0,15.93,0,0,41.42,3.19,0,7.43,1.06,0
 96-106,0,0,1.09,0,8.74,52.46,0,237.15,0,0,3.28,27.32,3.28,0,2.19,3.28,1.09,0,3.28,40.44,1.09,43.71,0,4.37,4.37,339.88,1.09,5.46,9.84,0,4.37,0,0,21.86,0,0,30.6,0,2.19,1.09,3.28,0
108-118,0,0,0,0,9.96,37.53,0.77,175.41,0.77,0.77,3.83,26.81,6.89,0,0.77,3.83,0.77,2.3,1.53,61.28,0,24.51,0,0,2.3,327.07,0,3.06,3.06,0,1.53,0,0,7.66,0.77,0,16.85,0.77,0,5.36,1.53,0
120,0,0,1.96,0,5.88,47.03,0,121.51,0,0,0,23.52,7.84,0,0,1.96,0,0,0,29.4,0,13.72,1.96,0,3.92,260.65,1.96,3.92,0,0,0,0,0,7.84,0,0,9.8,1.96,0,0,0,0
