stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,somites,spinal.cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,0.82,2.46,0,0,0,1.64,0,0,13.13,0,0,0,137.9,0,0.82,4.1,0,0,0
 36-46,0,0,0,0,0.81,0.81,0,0.81,0,0,0,0,0.81,0,0.81,0.81,0,0,0.81,8.86,0.81,0,0,140.99,0,0,0,0,0,0
 48-58,0,0.57,0,0,3.44,0,0,1.15,0,0.57,0,0,4.59,0,0,3.44,1.15,0,0.57,8.61,0.57,0,0,129.68,0,0,0,0,0,0.57
 60-70,0,2.94,0,0,3.93,1.96,0.98,0,1.96,0,0,0,11.78,0,0,1.96,0.98,0,0.98,5.89,2.94,0,0,133.49,0,0,0.98,0,0,0
 72-82,0,13.74,0.98,0,3.93,0.98,0,0.98,0.98,0,0.98,2.94,22.58,0,0,4.91,0.98,0.98,0,12.76,0,0.98,0,145.29,0,0,0,0,1.96,0
 84-94,0,22.3,1.06,0,5.31,2.12,0,1.06,0,0,0,4.25,30.8,0,0,9.56,2.12,0,0,13.81,0,1.06,0,324.98,0,0,0,1.06,0,0
 96-106,0,50.27,2.19,1.09,6.56,5.46,0,5.46,5.46,0,1.09,18.58,80.87,1.09,0,26.23,6.56,0,0,14.21,2.19,1.09,0,357.36,0,0,1.09,1.09,1.09,0
108-118,0,38.3,0.77,0,5.36,6.13,0,3.06,3.83,0,0.77,14.55,71.23,0,0,14.55,9.19,0,0,10.72,0.77,3.06,0,276.51,0,0,0,1.53,0,0
120,0,39.2,0,0,3.92,3.92,0,0,0,0,1.96,1.96,27.44,0,0,17.64,3.92,0,0,13.72,0,0,0,217.54,0,0,0,1.96,0,0
