stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,513.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0
  5-6,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,18.88,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,3,1,15,0,5,10,0,0,0
 24-34,0,0.82,0,1.64,0,0,0.82,1.64,0,0,0,0,0,0.82,0,1.64,0.82,0,0,8.21,0,0.82,7.39,10.67,0,0.82,0
 36-46,0,0,0,0,0.81,0.81,0.81,4.03,0,0,0,0.81,0,1.61,0,0.81,2.42,0,0,8.06,0,0,0,10.47,0,0,0.81
 48-58,0,1.72,0,1.15,0,0,0,2.3,0,0,0,0,0,1.15,0,0.57,0,0,0,3.44,0,0,0,9.75,0,0,0
 60-70,0,1.96,0,0,0,0.98,0,2.94,0,0,0,0,0,0.98,0,0.98,1.96,0,0,2.94,0,0,0,8.83,0,0,0
 72-82,0,1.96,0,0,0,0,0,3.93,0,0,0,0,0,1.96,0.98,0,1.96,0,0,0.98,0,0,0,6.87,0,0,0
 84-94,0,4.25,0,0,0,0,1.06,2.12,0,1.06,1.06,0,0,3.19,0,1.06,0,0,0,5.31,0,0,0,4.25,0,0,0
 96-106,0,7.65,0,0,0,0,1.09,4.37,0,0,0,0,0,0,0,1.09,4.37,0,0,8.74,0,0,0,3.28,2.19,1.09,0
108-118,0,4.6,0,0,0,2.3,0.77,0,1.53,0.77,0.77,0,0.77,0.77,0,0,0.77,0,0,4.6,0,0,0,1.53,0,0,0
120,0,7.84,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,15.68,0,0,0,1.96,0,0,0
