stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,13,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,15,3,0,0,0,2,0,1,0,2,10,0,0,0,0,0
 24-34,0,0.82,6.57,0,0,4.1,0,0,0,0,0,0.82,0,0.82,0,0,0,0,3.28,0.82,0,0,101.79,6.57,4.93,2.46,0,9.85,0,0,0,1.64,47.61,0,0,0,0,0
 36-46,0,0,5.64,0,0,6.45,0,1.61,0,0.81,0.81,0,0,0,0,0,0,0.81,6.45,0,0,0,323.88,6.45,6.45,1.61,0,17.72,0,0,0,0,64.45,0,0,2.42,0,0.81
 48-58,0,0,4.59,0,0,35.58,0.57,0,0.57,4.59,1.15,0.57,0.57,0,0.57,1.15,0,0.57,5.74,0,0,2.87,642.66,9.75,3.44,0.57,0,6.89,0,0,0.57,0,65.41,0,0,0.57,0,1.15
 60-70,0.98,0,5.89,0,0,98.15,0,3.93,0,7.85,0,0,0.98,0,1.96,0,0,0.98,12.76,0,0,2.94,1224.94,6.87,1.96,0.98,0,2.94,0,0,1.96,0,94.23,0,0,2.94,0.98,0
 72-82,4.91,0,17.67,0.98,0,139.4,0,1.96,0.98,29.45,2.94,0,2.94,0,0,2.94,0,0,28.47,0,0,0,1203.52,6.87,9.82,5.89,0.98,16.69,0,0,0.98,0,62.83,0,0.98,2.94,0.98,0
 84-94,2.12,0,18.05,0,0,111.51,2.12,3.19,1.06,28.68,2.12,1.06,0,0,1.06,1.06,1.06,2.12,20.18,1.06,4.25,2.12,654.22,4.25,7.43,5.31,0,20.18,0,0,1.06,0,41.42,0,0,3.19,1.06,1.06
 96-106,2.19,0,24.04,1.09,0,112.56,1.09,2.19,4.37,16.39,1.09,0,2.19,2.19,2.19,2.19,2.19,0,17.49,1.09,3.28,2.19,531.12,5.46,5.46,2.19,1.09,20.76,1.09,0,2.19,0,27.32,4.37,0,1.09,1.09,2.19
108-118,2.3,0,26.04,1.53,0.77,68.17,0,11.49,2.3,10.72,6.13,0,2.3,2.3,0.77,0,0.77,1.53,24.51,0,0.77,0.77,592.09,7.66,3.06,3.06,0,24.51,0,0,2.3,0,16.85,1.53,0,2.3,0.77,1.53
120,1.96,0,25.48,0,0,94.07,0,5.88,1.96,23.52,1.96,0,1.96,0,0,1.96,0,0,19.6,0,1.96,1.96,678.09,5.88,7.84,9.8,0,27.44,0,0,0,0,21.56,0,0,1.96,0,0
