stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,20,0,0,0,0,0,2,0,0,0,0,0,0,3,1,1,0,0,0,0,0,1,2,0,10,0,0
 24-34,0,1.64,2.46,0.82,0,0,0,0,4.1,0,0,0,3.28,0.82,0,0,28.73,0,0,0,0,0,0,0,4.93,0,47.61,0,0
 36-46,0,0.81,0,0.81,0,0,0,0,4.03,0,0,0.81,2.42,0,0,0.81,116.82,0,0,0,0,0,0,0,28.2,0,41.89,0,0.81
 48-58,0,0.57,0.57,6.31,0,0,0.57,0,4.59,0,0,0,1.72,0,0,0.57,266.82,0,0,0.57,0,1.15,0,0,60.25,0,27.54,0,0
 60-70,0,3.93,0,19.63,0,0,0.98,0,12.76,0,0,0,9.82,0,0,2.94,416.17,0,0,0,0,0,0,0,91.28,0,26.5,0,0
 72-82,0,2.94,1.96,20.61,0,0.98,3.93,0,2.94,0,0,0,7.85,0,0,0.98,321.99,0,0,0,0,0,0,0,64.79,0,53.01,0,0
 84-94,0,1.06,0,22.3,1.06,0,4.25,0,2.12,0,0,0,7.43,0,1.06,0,157.18,0,1.06,0,0,0,0,0,27.61,1.06,42.48,1.06,0
 96-106,0,4.37,0,24.04,0,2.19,2.19,2.19,7.65,0,0,0,7.65,0,2.19,0,122.4,0,0,0,0,0,0,0,14.21,0,30.6,3.28,2.19
108-118,0,1.53,0,12.26,0.77,0,0.77,0.77,4.6,0,0.77,0.77,2.3,0,0,0,155.49,0,0.77,0,0,0.77,0,0,6.89,0.77,16.09,0,0
120,0,1.96,0,19.6,3.92,0,0,0,5.88,1.96,0,0,0,0,0,0,135.23,0,0,0,0,1.96,1.96,0,7.84,0,23.52,1.96,0
