stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0.82,0,0,1.64,1.64,0,0,0,0,0,0,0.82,2.46,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0.81,0,0,0,0,3.22,0,4.03,0.81,4.03,0,0,0,0.81,0,1.61,0,0,0,0,0
 48-58,0,0,0.57,0.57,0.57,0.57,0,0,0,0,7.46,1.15,0,0,0,7.46,0,10.33,0.57,5.16,0,0,0,0.57,0,2.87,0,0.57,0,0,0
 60-70,0.98,0.98,0.98,3.93,0,3.93,0.98,0,0,0.98,4.91,0,0,0,0,7.85,0,12.76,0,4.91,0,0.98,0,0,0,0,0,7.85,0,1.96,0
 72-82,0,0,6.87,8.83,0.98,0,0.98,0.98,0,5.89,17.67,0,0,0.98,0.98,24.54,0,40.25,0.98,8.83,0,1.96,8.83,0,0,0.98,0,16.69,0.98,19.63,0
 84-94,0,1.06,4.25,1.06,0,0,2.12,0,0,3.19,25.49,0,1.06,1.06,0,15.93,0,29.74,1.06,3.19,0,0,3.19,3.19,0,0,0,16.99,0,24.43,0
 96-106,0,2.19,5.46,4.37,0,0,2.19,3.28,2.19,4.37,50.27,1.09,0,1.09,0,45.9,0,25.14,2.19,10.93,1.09,2.19,19.67,0,1.09,0,0,12.02,2.19,44.81,0
108-118,0,3.83,1.53,0.77,0,3.06,1.53,0,5.36,2.3,32.94,0.77,0,0,0,41.36,0.77,22.21,1.53,6.13,0.77,0.77,13.79,0.77,0,0.77,0.77,6.89,0.77,27.57,0.77
120,0,5.88,5.88,5.88,0,3.92,0,1.96,0,3.92,64.67,0,0,1.96,0,29.4,0,21.56,1.96,1.96,0,3.92,19.6,0,0,0,0,5.88,0,21.56,0
