stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,hatching.gland,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,5,1,2,0,0,1,0,0,0,0,0,0,2,0,0,3,12,0,0,0,0,1,2,0,2,6,0,1,1
 24-34,0,2.46,0,3.28,0,0.82,1.64,0,0,0,0,0,0,1.64,0,0,6.57,38.58,0.82,0,0.82,0,2.46,0,0,1.64,4.93,0,0,0
 36-46,0,0.81,0,4.03,0,0,0,0,0,0,0,0,0,4.83,0,0,0.81,35.45,0.81,0.81,0,0,3.22,0,0,0,5.64,0,0,0
 48-58,0,0,0,2.3,0,0,2.3,0,0,0.57,0,0,0,8.61,0.57,0.57,2.3,25.25,0.57,0.57,0,0,1.15,0,0,0,3.44,0,0,0
 60-70,0,1.96,0,7.85,0,0,6.87,0,0,0,0.98,0,0,11.78,0,0.98,0.98,19.63,0,0,0.98,0,0,0,0,0,2.94,0,0.98,0
 72-82,0,1.96,0,5.89,0,0,0.98,0,0.98,0,0,0,0,17.67,0.98,0,0.98,26.5,0.98,0.98,0,0,0.98,0,0,0,1.96,0.98,0,0
 84-94,0,4.25,0,3.19,1.06,1.06,2.12,1.06,0,0,0,0,0,18.05,1.06,0,0,14.87,0,0,0,0,7.43,0,0,0,1.06,0,0,0
 96-106,0,0,0,2.19,1.09,0,4.37,0,0,0,1.09,1.09,0,8.74,0,0,1.09,15.3,0,0,0,0,4.37,0,0,0,2.19,0,1.09,0
108-118,0,3.06,0,3.06,0,0,3.06,0,0,0,0.77,0,0.77,6.89,0,0,0.77,11.49,0.77,0,0,0,2.3,0,0.77,0,0,0,0,0
120,0,0,0,11.76,0,0,0,0,0,0,0,0,0,7.84,1.96,0,1.96,7.84,0,0,0,0,1.96,0,0,0,0,0,0,0
