stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,31.54,0,0,0,0,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,21.03,5.26,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,28.32,0,3.15,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,25.18,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,3,8,10,0,0,0,0,0,1,2,1,1,0,1,0,0,5,0,8,0,0,4,42,0,0,10,0,0,6,4,112,25,25,4,0,0,0,0,0
 24-34,0,0,0,2.46,2.46,0,9.03,22.98,0,0,15.6,0.82,0,1.64,0,3.28,0.82,0.82,3.28,0,12.31,0,0,14.78,46.79,0.82,1.64,2.46,0,0,4.1,0,103.43,18.06,34.48,8.21,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,24.98,19.34,0,0,50.76,0.81,0,0.81,0,9.67,0,0.81,0.81,0,12.89,0,0.81,8.06,23.36,0.81,0.81,3.22,0,0,3.22,0,62.84,4.03,4.03,12.89,0,0,0,0,0.81
 48-58,0,0,0.57,2.87,2.3,0,157.22,5.74,0,1.15,121.07,1.15,0,1.15,0,5.16,0.57,0,1.15,0,41.31,0,2.87,5.74,29.84,0,1.15,2.87,0,0,0.57,0,43.61,1.15,0,18.36,0,0.57,1.15,0,0
 60-70,0,0,0.98,1.96,1.96,0,569.28,2.94,1.96,0,412.24,2.94,0,0.98,0,6.87,1.96,0,0.98,0,76.56,0.98,3.93,2.94,57.91,0,0,5.89,0,1.96,2.94,0,45.15,2.94,0,49.08,0,2.94,0.98,0.98,2.94
 72-82,0,0,0,7.85,12.76,0,639.06,1.96,0,1.96,851.1,11.78,0,0.98,0,6.87,0.98,0.98,0,0,116.82,0.98,2.94,4.91,100.13,0,0,6.87,0,0.98,5.89,0,67.73,0,0,48.1,0.98,4.91,5.89,2.94,0
 84-94,0,0,0,11.68,6.37,0,556.51,8.5,2.12,0,653.15,21.24,0,0,0,12.74,0,0,1.06,1.06,95.58,1.06,12.74,8.5,36.11,1.06,0,12.74,0,0,5.31,0,141.25,1.06,0,38.23,2.12,2.12,5.31,6.37,1.06
 96-106,0,0,0,31.69,4.37,2.19,428.4,10.93,1.09,2.19,715.81,55.74,0,0,4.37,12.02,2.19,1.09,2.19,0,136.61,0,4.37,14.21,90.71,1.09,2.19,12.02,0,0,9.84,0,116.93,1.09,0,36.06,2.19,1.09,6.56,5.46,0
108-118,0,0,0,11.49,5.36,0.77,283.41,3.06,3.83,1.53,667.92,120.26,0,1.53,0.77,18.38,1.53,0.77,2.3,0,114.13,0,2.3,21.45,53.62,0.77,0.77,16.09,0,0,3.83,0,72.77,0.77,0,25.28,2.3,0.77,2.3,2.3,0
120,0,0,1.96,13.72,1.96,1.96,262.61,3.92,1.96,0,889.74,146.98,0,0,3.92,5.88,1.96,1.96,3.92,0,107.79,0,5.88,27.44,72.51,3.92,1.96,9.8,0,0,1.96,0,54.87,0,0,33.32,0,1.96,3.92,0,1.96
