stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,10.51,0,0,26.29,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,170.87,7.89,0,63.09,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,6.29,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.85,3.15,0,15.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,10,1,6,0,0,0,0,1,0,1,0,0,0,1,8,0,0,10,72,1,2,1,0,0,11,0,10,24,0,0,1,0
 24-34,0,0,0.82,2.46,0,6.57,0,0,0,0,0.82,0,0,0,0,0.82,0,23.8,0,0,9.03,49.25,2.46,1.64,0,0,0,0,0,3.28,13.13,0,0,1.64,0
 36-46,0,0,0,1.61,0,8.86,0,0,0.81,1.61,0,0,0.81,0,0,0,0,30.62,0,0,7.25,21.75,3.22,0.81,0,0,0,0,0,0,4.83,0,0,1.61,0
 48-58,0,0,0,1.15,0,24.67,0,0,1.15,2.3,0,0,0.57,0,0,0,0,44.76,0,1.72,6.31,11.48,1.15,0.57,0.57,0,0,0,0,0,2.3,0,0.57,3.44,0.57
 60-70,0,0,0,0.98,0,22.58,0.98,0,1.96,1.96,0,0,0,2.94,0,0,0,60.85,0,2.94,3.93,7.85,2.94,1.96,0,0,0,0,0,0,0,0,0.98,5.89,0
 72-82,0,0,0,0.98,0,9.82,0,0,2.94,7.85,0,0,1.96,12.76,0,0,0,81.48,0.98,2.94,2.94,24.54,0.98,4.91,0,0,0,0,0,0,0.98,0.98,1.96,3.93,5.89
 84-94,0,0,0,2.12,0,14.87,0,1.06,2.12,3.19,0,0,0,20.18,0,0,0,40.36,0,3.19,1.06,20.18,2.12,1.06,0,0,0,0,1.06,0,0,0,2.12,4.25,1.06
 96-106,0,0,0,5.46,0,6.56,0,1.09,3.28,2.19,1.09,0,0,14.21,1.09,0,1.09,45.9,0,3.28,3.28,10.93,4.37,7.65,0,1.09,0,0,0,0,0,0,0,7.65,3.28
108-118,0,0,0,6.13,0,1.53,0,3.06,0,3.06,0.77,0,0,6.89,0,0,0,39.06,0,3.06,1.53,21.45,6.13,3.06,0,0,1.53,0,0,0,0,0,4.6,6.89,0.77
120,0,0,0,1.96,0,9.8,0,0,3.92,3.92,0,0,0,5.88,0,1.96,0,45.08,0,1.96,1.96,11.76,7.84,7.84,0,0,0,0,0,0,0,0,0,7.84,0
