stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,97.26,0,0,0,36.8,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,84.97,0,0,0,25.18,0,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,5,0,0,0,0,0,6,0,1,23,1,1,0,0,0,2,0,3,7,0,0,0,0,0
 24-34,0,0,0.82,0,0.82,4.1,0,0,0,0,0,2.46,0,1.64,35.3,0,0,0,0,1.64,0,0,0,5.75,0,0,0,0,0.82
 36-46,0,0,0,0,0,7.25,0,4.03,0.81,0,0,8.06,0,0.81,16.11,0,0,0.81,0,0,0,0,0,4.83,0,0,0,0,0
 48-58,0,0,0,0,0,4.59,1.72,11.48,0,0,0,20.08,0.57,0.57,30.99,0,0.57,0,0,0,0,0,0,6.31,0,0,0.57,0,0
 60-70,0,0,0,2.94,0,8.83,0,2.94,0,0,0,16.69,0,0,15.7,0,0,0,0,0,0,0,0,0.98,0,0,0.98,0,0
 72-82,0,0,0,0.98,0,3.93,0.98,4.91,0,0.98,0,28.47,0,0.98,26.5,0,0.98,0,0,0,0,0,0,0.98,0,0.98,0,0.98,0
 84-94,0,0,0,1.06,1.06,2.12,1.06,3.19,0,0,0,7.43,0,0,10.62,0,0,0,0,1.06,0,0,0,1.06,1.06,0,1.06,0,0
 96-106,0,0,0,2.19,0,0,1.09,3.28,0,1.09,1.09,15.3,0,0,7.65,0,0,1.09,0,1.09,0,0,0,0,0,0,1.09,1.09,0
108-118,0,0,0,1.53,0.77,4.6,1.53,1.53,0,0,0,7.66,0,0,14.55,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0
120,0,0,0,0,0,5.88,1.96,3.92,0,0,0,9.8,0,1.96,23.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
