stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,566.65,10660.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513.94,0,0,0,0,0,0,0,0,0
  5-6,459.72,7539.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.85,12.26,0,0,42.91,0,140.98,0,0,0,0,0,0,0,0,0
  7-9,26.29,26.29,39.43,0,0,0,99.89,0,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,1322.24,31.54,0,0,362.76,0,10.51,13.14,0,0,0,0,0,0,0,0
 10-12,0,22.03,56.65,0,3.15,0,69.23,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,962.97,18.88,0,0,226.58,0,15.73,6.29,3.15,37.76,6.29,0,0,0,0,0
 14-21,0,0,21,328,41,0,52,0,0,15,12,2,0,5,13,0,1,0,0,114,0,0,67,850,32,4,20,15,0,144,0,72,10,57,169,0,9,0,0
 24-34,0,0,5.75,83.73,7.39,0,107.53,0.82,1.64,13.95,4.1,0,2.46,10.67,2.46,2.46,6.57,7.39,0,132.98,4.93,2.46,57.46,981.74,12.31,8.21,13.95,0,0,207.68,0,0.82,4.1,2.46,190.44,0,25.45,0,0.82
 36-46,0,0,0,28.2,1.61,0,159.52,0,0,13.7,2.42,0,1.61,10.47,0.81,0.81,2.42,2.42,0,68.48,3.22,2.42,24.17,481.79,4.03,3.22,5.64,0,0,74.12,0,0.81,0.81,0,111.18,0,14.5,0,1.61
 48-58,0,0,0,17.79,0.57,0,172.14,1.15,0.57,18.36,1.15,0,4.59,9.75,1.72,0.57,1.72,1.15,0,64.84,1.72,7.46,19.51,164.11,2.87,1.72,4.59,0,0,25.82,0,0,0,0,31.56,0,14.92,0,1.72
 60-70,0,0,0,29.45,0,0,98.15,0.98,0,17.67,1.96,0,0.98,2.94,0,1.96,2.94,0.98,0,35.33,0,7.85,4.91,100.12,5.89,2.94,1.96,0,0,14.72,0,0,0,0,10.8,0,9.82,0,0.98
 72-82,0,0,0,30.43,0.98,0,70.68,0,0,20.61,8.83,0,5.89,5.89,0,0,0.98,3.93,0,64.79,1.96,8.83,12.76,98.17,0.98,2.94,8.83,0,0,5.89,0,0,0.98,0,3.93,0,19.63,0,0.98
 84-94,0,0,0,39.3,5.31,1.06,47.79,0,1.06,12.74,5.31,0,1.06,7.43,0,3.19,1.06,4.25,0,47.79,0,6.37,9.56,64.78,5.31,4.25,5.31,0,0,21.24,0,0,4.25,0,3.19,1.06,20.18,0,1.06
 96-106,0,0,0,29.51,2.19,0,38.25,1.09,0,21.86,13.11,0,5.46,20.76,0,0,2.19,5.46,0,37.16,0,2.19,2.19,68.85,6.56,4.37,12.02,0,0,18.58,0,0,5.46,0,1.09,2.19,15.3,1.09,0
108-118,0,0,0,22.98,3.83,0,33.7,0,0,19.15,8.43,0,0,13.79,2.3,2.3,0,11.49,1.53,23.74,0.77,3.83,6.13,70.47,3.83,1.53,7.66,0,0.77,7.66,0,0,0.77,0,0,1.53,16.85,0.77,0
120,0,0,0,15.68,5.88,0,31.36,0,0,9.8,5.88,0,0,9.8,0,0,1.96,3.92,0,19.6,0,1.96,5.88,45.08,3.92,1.96,3.92,0,0,15.68,0,0,0,0,0,0,11.76,0,0
