stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,158.14,3663.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.96,0,0,0,0,0,0,0,0,0,0
  5-6,147.11,3034.17,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,98.07,0,0,0,36.78,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,26.29,73.6,92,0,2.63,0,178.75,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,1648.2,26.29,0,0,646.66,0,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,31.47,37.76,0,6.29,0,144.76,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,1107.73,22.03,0,0,393.37,0,0,0,0,44.06,3.15,0,0,0,0,0,0
 14-21,0,0,14,87,24,0,88,0,0,21,4,0,0,0,4,0,0,4,0,77,0,43,1255,29,8,11,37,0,12,0,75,4,68,381,0,0,3,0,0
 24-34,0,0,0.82,13.13,3.28,0,233.94,0,0,22.16,0,0,2.46,1.64,3.28,0.82,0.82,3.28,0.82,105.07,0,39.4,1131.14,2.46,4.93,9.85,0,0,13.95,0,0,0,6.57,180.59,0,0,8.21,0,0
 36-46,0,0,0.81,13.7,2.42,0,351.27,0,0,16.92,0.81,0,0,0.81,0.81,0,0.81,0.81,0,83.79,0.81,21.75,669.51,1.61,4.83,1.61,0,0,4.83,0,0,1.61,0,110.38,0,0,8.86,0,0
 48-58,0,0,0,6.89,0.57,0,223.78,0,2.3,15.49,1.72,0,1.72,1.72,0.57,1.15,1.15,0.57,0,64.27,3.44,14.35,192.22,0.57,0.57,0,0,0,1.15,0,0,0,0,30.41,0,0,3.44,0.57,1.15
 60-70,0,0,0,6.87,0.98,0,137.41,0.98,0.98,30.43,3.93,0,0,2.94,0,0.98,1.96,1.96,0,45.15,2.94,6.87,133.49,0,0.98,0.98,0,0,2.94,0,0,0,0,5.89,0,0,2.94,0,0
 72-82,0,0,0,9.82,1.96,0,49.08,0,2.94,13.74,0,0,0.98,1.96,0.98,0,1.96,0.98,0.98,57.92,2.94,5.89,93.26,0.98,0.98,4.91,0,0,0.98,0,0,0,0,2.94,0,0.98,3.93,0,0
 84-94,0,0,0,8.5,6.37,1.06,44.61,0,0,18.05,2.12,0,0,9.56,0,1.06,0,1.06,0,45.67,1.06,7.43,71.16,1.06,1.06,3.19,0,1.06,3.19,0,0,0,0,0,1.06,0,5.31,0,0
 96-106,0,0,0,12.02,2.19,0,31.69,0,0,18.58,3.28,0,1.09,10.93,0,0,1.09,0,0,28.41,0,6.56,59.01,0,1.09,1.09,0,0,1.09,0,0,2.19,0,0,0,0,4.37,0,0
108-118,0,0,0,0.77,4.6,0,35.23,0.77,0.77,17.62,2.3,0,0,10.72,0.77,1.53,0.77,0,0,19.92,0.77,6.13,72.77,0,0.77,1.53,0,0.77,3.06,0,0,0,0,0,0,0,6.13,0,0
120,0,0,0,7.84,7.84,0,23.52,1.96,0,15.68,0,0,0,7.84,0,1.96,0,0,0,19.6,1.96,13.72,58.79,0,1.96,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0
