stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.63,0,0,0,0,0,0,0
  5-6,24.52,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,508.76,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,0,2.63,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,55.2,2.63,0,0,10.51,0,86.75,0,0,0,0,0,0,0
 10-12,0,3.15,0,31.47,0,3.15,0,6.29,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,151.05,0,0,0,25.18,0,25.18,3.15,0,0,0,0,0,0
 14-21,0,0,1,2,94,12,0,3,2,1,2,0,0,0,33,0,0,0,1,0,0,1,41,0,5,4,1,0,188,2,0,6,0,1,0,0
 24-34,0,0,1.64,0.82,32.83,0.82,0,8.21,4.1,1.64,0.82,0.82,0,0,34.48,0,4.1,0,4.1,8.21,0,3.28,68.13,0.82,16.42,4.1,0,0.82,66.49,0,0.82,6.57,0,0.82,0,0
 36-46,0,0,0,0,10.47,0,0,8.86,0.81,3.22,0,0,0.81,0,15.31,0,1.61,0,6.45,2.42,0,0,72.51,0,18.53,3.22,0,0,41.89,0,0.81,5.64,0,0,0,0
 48-58,0,0,1.15,0,14.35,0,0,17.21,2.87,1.72,0,1.15,0,0.57,3.44,0,3.44,0,4.59,1.72,0,2.3,45.33,0,9.18,2.87,0,0,27.54,0,0,2.87,0,1.72,0,0
 60-70,0,0,1.96,0,14.72,0,0,23.56,4.91,12.76,1.96,0,0.98,2.94,2.94,0.98,1.96,0,1.96,3.93,0.98,0,62.82,0,5.89,2.94,0,0.98,22.58,0,1.96,0.98,0,0,0,0
 72-82,0,0,0,0,17.67,0,0,11.78,2.94,4.91,6.87,0,0.98,0.98,6.87,0,5.89,0,2.94,0,0.98,0.98,39.27,0,17.67,2.94,0,0,26.5,0,0,2.94,2.94,2.94,0,0.98
 84-94,0,0,0,0,33.99,0,0,19.12,2.12,5.31,6.37,0,1.06,1.06,20.18,0,6.37,0,3.19,1.06,1.06,0,25.49,0,8.5,6.37,0,0,100.89,0,0,2.12,4.25,2.12,1.06,0
 96-106,0,0,0,0,31.69,2.19,0,10.93,2.19,3.28,8.74,0,0,1.09,10.93,0,7.65,1.09,7.65,2.19,1.09,0,22.95,0,14.21,3.28,0,0,54.64,0,1.09,0,6.56,0,0,1.09
108-118,0,0,0,0,30.64,0,1.53,10.72,4.6,6.13,10.72,0,0,3.06,22.21,0.77,8.43,0.77,0.77,1.53,0,0,24.51,0,9.96,3.83,0,0,58.21,0,1.53,0.77,15.32,0.77,0,0
120,0,0,1.96,0,43.12,1.96,0,19.6,3.92,3.92,3.92,0,0,7.84,13.72,0,5.88,0,0,0,0,0,37.24,0,17.64,7.84,0,0,56.83,0,3.92,0,1.96,0,0,0
