stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,15.73,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,155,0,3,0,0,0,4,0,0,1,0,1,0,0,0,1,0,0,1,37,0,0,0,0,189,0,4,0,2,23,47,0,0,0,0,0
 24-34,0,0,3.28,0,230.66,0,5.75,0,2.46,0,1.64,0,0,0,0.82,0.82,0.82,0.82,0.82,6.57,0.82,0,7.39,291.4,1.64,0.82,0,0,462.14,0,0,0.82,0.82,6.57,65.67,0,0,0.82,0,0
 36-46,0,0,1.61,0,136.96,0,3.22,0,11.28,0,5.64,0,0,0,0.81,0,0,0.81,0,9.67,4.83,0,5.64,364.16,0,0.81,0,0,520.46,0,0,0,0,0,80.57,0,0,0.81,0,0.81
 48-58,0,0,3.44,0,110.17,0.57,17.79,1.72,28.12,0.57,6.31,0,0,0.57,0,0,0,0,1.15,6.31,4.59,0,28.12,214.03,0,0,0,0,446.99,0,0,0,1.15,0.57,43.61,0,0,0,0,0
 60-70,0,0,1.96,0,116.8,0,22.58,4.91,38.28,0.98,9.82,0,0.98,0,0,0.98,0.98,0,0,3.93,6.87,0,19.63,271.88,0,0,0,0,272.86,0,0,0,0.98,0,20.61,0.98,0,0,0.98,0
 72-82,0,0,5.89,0,165.9,1.96,68.72,0.98,42.21,0,18.65,0,0,0,0.98,0.98,0,0,0,21.6,1.96,0,21.6,399.54,0.98,0.98,0,0.98,304.32,0,0,0,0,0,28.47,0.98,0,1.96,0,0.98
 84-94,0,0,8.5,0,365.34,1.06,48.85,4.25,82.84,1.06,18.05,0,0,0,1.06,7.43,0,0,0,9.56,2.12,1.06,15.93,257.01,1.06,0,0,0,705.19,0,0,0,1.06,0,20.18,1.06,0,1.06,0,0
 96-106,0,0,5.46,0,356.27,2.19,55.74,5.46,77.59,0,15.3,3.28,0,1.09,0,9.84,1.09,2.19,0,21.86,8.74,1.09,18.58,285.23,2.19,3.28,0,0,602.16,1.09,0,0,0,0,28.41,7.65,0,0,0,1.09
108-118,0,0,2.3,0,281.87,2.3,32.94,1.53,69.7,0.77,25.28,1.53,0,0,0,13.79,0,0.77,0,11.49,7.66,0,17.62,353.87,0.77,0,0,0,335.49,0,0,0,0,0,12.26,13.79,0.77,0,1.53,0
120,0,0,0,0,154.82,1.96,19.6,3.92,58.79,0,25.48,0,0,0,0,1.96,0,0,0,13.72,7.84,0,19.6,337.08,0,3.92,0,0,248.89,0,0,0,0,0,3.92,1.96,0,1.96,0,1.96
