stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,685.25,11767.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.58,0,0,0,0,0,0,0,0,0,0,0
  5-6,711.04,7919.49,6.13,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0,0,159.37,36.78,0,0,61.3,0,177.76,0,0,0,0,0,0,0,0,0,0,0
  7-9,57.83,60.46,184.01,0,0,0,302.3,0,0,0,0,123.55,0,0,0,0,0,0,0,0,0,0,0,2812.72,63.09,0,0,1017.31,0,7.89,28.92,0,0,0,0,0,0,0,0,0,0
 10-12,0,94.41,129.03,0,15.73,0,251.76,0,0,0,0,37.76,0,0,0,0,0,0,0,0,0,0,0,2382.26,40.91,0,0,833.95,0,6.29,15.73,3.15,94.41,0,9.44,6.29,0,0,0,0,0
 14-21,1,2,17,172,43,0,132,0,0,52,5,2,0,2,5,0,0,0,1,76,0,0,56,1794,63,8,12,44,0,25,3,105,9,1,65,461,0,0,3,0,0
 24-34,0,0,4.1,59.92,9.85,0,593.48,1.64,2.46,49.25,1.64,0,2.46,11.49,4.1,2.46,6.57,6.57,0.82,216.71,0,1.64,84.55,2666.14,13.13,18.88,27.09,0,0,50.07,0,1.64,3.28,0.82,15.6,535.2,0,0,35.3,0,11.49
 36-46,0,0,0,26.59,3.22,0,928.13,0.81,1.61,48.34,1.61,0,1.61,11.28,3.22,5.64,0.81,0,1.61,145.02,0,3.22,45.12,1515.46,0.81,14.5,12.09,0,0,24.17,0.81,1.61,1.61,0,0,315.82,0,0,10.47,0,10.47
 48-58,0,0,1.15,25.25,4.02,0,1070.15,1.72,2.3,64.27,4.02,0,1.15,7.46,2.3,5.16,3.44,4.59,0.57,193.37,1.15,10.33,47.63,751.11,2.3,1.72,7.46,0,0,12.05,0,0,1.15,0,0,104.43,0,0,12.05,0,5.16
 60-70,0,0,0,36.32,1.96,0,654.68,2.94,1.96,90.3,4.91,0,0,4.91,0,6.87,3.93,1.96,0.98,118.76,1.96,10.8,14.72,376.9,0.98,5.89,5.89,0,0,5.89,0,0,0,0,0,25.52,0,0,6.87,0,0.98
 72-82,0,0,0,32.39,1.96,0,297.44,0,1.96,92.28,7.85,0,3.93,7.85,6.87,3.93,2.94,0.98,2.94,147.25,1.96,3.93,26.5,314.13,0.98,8.83,11.78,0,0.98,7.85,0,0,0,0,0,7.85,0.98,0,12.76,0,0.98
 84-94,0,0,2.12,44.61,6.37,0,251.7,1.06,2.12,49.92,23.36,0,0,10.62,5.31,8.5,1.06,6.37,0,131.69,2.12,10.62,35.05,258.08,2.12,9.56,9.56,0,1.06,13.81,0,0,8.5,0,0,5.31,2.12,1.06,21.24,0,1.06
 96-106,0,0,0,39.34,8.74,1.09,190.16,2.19,0,83.06,13.11,0,4.37,38.25,1.09,3.28,4.37,3.28,1.09,78.68,3.28,4.37,19.67,228.4,2.19,13.11,5.46,0,1.09,15.3,0,0,3.28,0,0,8.74,3.28,1.09,22.95,1.09,0
108-118,0,0,0.77,36.77,20.68,1.53,182.3,0.77,0.77,61.28,8.43,0,0.77,19.15,3.83,6.13,3.06,3.83,0.77,68.17,0.77,3.83,15.32,288,3.06,6.89,9.96,0,0.77,12.26,0,0,3.06,0,0,2.3,3.06,0,17.62,0,0.77
120,0,0,0,27.44,33.32,1.96,166.58,0,0,62.71,9.8,0,1.96,17.64,5.88,1.96,3.92,7.84,0,52.91,0,3.92,7.84,254.77,1.96,1.96,1.96,0,0,1.96,0,0,0,0,0,5.88,0,0,17.64,1.96,0
