stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,0,0,0,9.44,18.88,0,0,0,3.15,0,0,0,0,0,0
 14-21,1,0,0,2,5,0,0,0,0,0,0,0,4,1,0,8,0,0,0,0,0,1,0,0,21,0,2,6,0,221,1,10,3,4,1,0,0,0,0,0
 24-34,0,0,0,1.64,12.31,0,0,5.75,0,2.46,0,1.64,6.57,4.93,0,27.91,0,0,0.82,0.82,2.46,22.16,0,1.64,59.1,0,22.16,10.67,0,816.75,0,17.24,1.64,4.1,6.57,0,0,0.82,0,0.82
 36-46,0,0,0,0,5.64,0,0,9.67,0,3.22,0,0,3.22,1.61,0,12.09,0,0.81,0.81,0,3.22,16.11,0,0,52.37,0.81,49.15,8.86,0,907.18,0,8.86,0,0,4.83,0,0,0,0,0
 48-58,0,0,0,0.57,12.05,0,0,13.2,1.15,10.9,1.15,2.87,1.72,18.94,0.57,14.92,0,1.15,1.15,0.57,4.59,10.9,0,1.15,37.87,0,37.87,11.48,0,731.6,0,7.46,0,0,7.46,0,0,0,0,1.15
 60-70,0,0,0.98,0,41.22,0,0,17.67,0,6.87,0,1.96,4.91,6.87,0,20.61,0,3.93,0,0,3.93,9.82,0,0.98,25.52,0,46.13,16.69,0,649.77,0,9.82,0,0,3.93,0,0,0,0,0
 72-82,0,0,3.93,0,76.57,0,0,8.83,0,9.82,0,3.93,20.61,5.89,0.98,39.27,0,3.93,0,0,14.72,18.65,0.98,2.94,27.49,0,85.4,38.28,0,615.5,0,8.83,0,0,0.98,8.83,0,0.98,0,0
 84-94,0,0,4.25,4.25,186.92,2.12,1.06,14.87,0,43.54,0,3.19,36.11,7.43,0,61.6,0,2.12,4.25,1.06,6.37,30.8,0,2.12,20.18,0,91.34,48.85,0,1672.71,0,37.17,1.06,0,1.06,36.11,1.06,0,0,0
 96-106,0,0,6.56,3.28,216.38,3.28,2.19,16.39,0,46.99,0,6.56,49.18,1.09,3.28,75.41,1.09,5.46,4.37,0,7.65,31.69,0,0,38.25,0,146.44,59.01,0,1386.82,0,15.3,1.09,0,0,31.69,0,0,1.09,1.09
108-118,0,0,1.53,7.66,230.55,0.77,22.98,9.96,0,63.57,0.77,7.66,67.4,0,1.53,64.34,0,3.06,7.66,0,11.49,27.57,0,2.3,23.74,0,92.68,41.36,0,1348.86,0,13.02,0,0,0.77,29.87,0,0.77,0,0.77
120,0,0,0,1.96,172.46,3.92,3.92,3.92,0,54.87,0,0,48.99,0,3.92,23.52,0,3.92,3.92,0,3.92,11.76,1.96,1.96,17.64,0,74.47,39.2,0,601.65,0,13.72,0,0,1.96,13.72,0,0,0,0
