stage,blastomeres,endoderm,epidermis,eye,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,13.14,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,6.29,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,2,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,2,3,0,0,0
 24-34,0,0,2.46,1.64,0,0,0,0,0,0,0,0.82,0,0,11.49,0,0.82,0,0,0,3.28,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,1.61,0,0,8.86,0,0.81,0,0,0,3.22,0,0,0
 48-58,0,0,0,5.74,0.57,0,0.57,0,0,0,0,3.44,0,0,9.75,0.57,0,0,0,0,2.87,0,0,0.57
 60-70,0,0,0.98,2.94,0.98,1.96,0,0,0,0,0,1.96,0,0,3.93,0,0,0,0.98,0,2.94,0,0,0.98
 72-82,0,0,0.98,1.96,0,0,0,0,1.96,0,0,0.98,0.98,0,7.85,0,0.98,0,0,0,0.98,0.98,0,0.98
 84-94,0,0,1.06,3.19,1.06,1.06,0,0,0,0,0,2.12,0,1.06,1.06,0,0,0,2.12,0,0,0,0,1.06
 96-106,0,0,0,1.09,0,0,0,2.19,0,1.09,1.09,3.28,0,0,4.37,0,0,0,3.28,0,0,0,0,1.09
108-118,0,0,1.53,1.53,0,0.77,0,0.77,0,0,0,0,0,0,0.77,0,0,0,0.77,0,0,0,0.77,0
120,0,0,0,3.92,0,1.96,0,0,0,0,0,1.96,0,0,1.96,0,1.96,0,1.96,0,0,0,0,0
