stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,18.39,220.67,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,6.13,0,0,6.13,0,30.65,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,31.54,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.98,18.4,0,0,120.92,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,11,1,0,0,0,0,0,0,0,0,19,0,0,0,0,1,3,0,0,18,0,1,0,0,0,1,0,0,0,3,0,0,0
 24-34,0,0,0,0,15.6,0,2.46,0,0.82,0,0.82,0,0.82,0.82,30.37,0,0,0.82,0,1.64,9.85,0,0.82,39.4,0,2.46,3.28,0,0,0,0,1.64,1.64,11.49,0,0.82,0
 36-46,0,0,0,0,8.06,0,0.81,0,1.61,0,2.42,0,0,0,8.06,0,0,0,0,1.61,0,0,0,24.98,0.81,3.22,0.81,0,0,1.61,0,0,0,4.03,0,0,0
 48-58,0,0,0,0,12.62,0,2.87,0,2.3,0.57,0,1.15,0,0,10.9,0,0.57,0,0,1.15,0.57,0,1.15,23.53,0,2.3,2.87,0,0,0.57,0,0,0,1.72,0,0,0
 60-70,0,0,0.98,0,28.46,0,1.96,0,3.93,0.98,0.98,7.85,0,0.98,10.8,0,0.98,0,0,3.93,1.96,0,1.96,21.59,0,1.96,0,0,0,4.91,0,0,0,0.98,0.98,1.96,0
 72-82,0,0,5.89,0,31.41,0,9.82,0,2.94,0,4.91,17.67,0,4.91,21.6,0.98,0.98,0,0,2.94,4.91,0.98,1.96,30.43,0,2.94,1.96,0,0.98,0,0.98,0,0,0.98,9.82,0,0
 84-94,1.06,0,3.19,0,43.54,1.06,6.37,0,5.31,0,3.19,27.61,0,5.31,29.74,1.06,2.12,0,0,4.25,1.06,0,0,15.93,0,3.19,1.06,0,0,1.06,0,1.06,0,0,28.68,1.06,0
 96-106,0,0,3.28,0,43.71,0,4.37,0,1.09,0,2.19,26.23,0,13.11,25.14,0,6.56,0,1.09,2.19,3.28,0,0,10.93,0,8.74,2.19,0,0,2.19,0,0,0,0,20.76,0,0
108-118,0,0,2.3,0,43.66,0,1.53,0.77,6.13,0,2.3,26.04,0,15.32,28.34,0,3.06,0.77,0,3.06,3.06,0.77,0,13.79,0,6.13,3.06,0,0.77,0.77,0,0.77,0,0,18.38,0,0.77
120,0,0,0,0,25.48,0,0,0,1.96,0,0,13.72,0,15.68,13.72,0,5.88,0,0,1.96,0,0,0,19.6,0,1.96,1.96,0,0,0,0,0,0,1.96,5.88,0,0
