stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,50.35,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7,6,5,0,0,0,0,0,1,0,0,0,0,6,0,5,44,0,1,0,0,0,2,0,0,1,27,0,0,2,0,0
 24-34,0,0,0,0,5.75,0,5.75,0,1.64,4.1,0.82,0,2.46,0,1.64,0.82,0.82,17.24,0,4.1,55,0.82,4.1,0,0,0,0,0,0.82,4.93,16.42,0,0,13.95,0,0
 36-46,0,0,0,0,0.81,0,4.03,0,1.61,13.7,0.81,0,4.83,0,0,0.81,0,20.95,0,1.61,48.34,0,0,0,0,0,0,0,0,0,11.28,0,0,21.75,0,0
 48-58,0,0,0,0,0.57,0,6.31,0,0,32.13,0,0,3.44,0,0,0.57,0,20.08,0.57,6.89,32.13,0,1.15,0,0,0.57,0,0,0,0,8.61,0,0.57,18.36,0,0
 60-70,0,0,0,0,3.93,0,5.89,0,2.94,23.56,0,0,0.98,0.98,0,2.94,0,53,0.98,7.85,26.5,0,0,0,0.98,0,0,0,0,0,6.87,0,0.98,22.58,0.98,0
 72-82,0,0,0,0,1.96,0,12.76,0,2.94,20.61,0,0,4.91,0.98,0,1.96,0,64.79,4.91,6.87,22.58,0,0,0,0.98,0,0,0,0,0,5.89,0,0,45.16,5.89,0.98
 84-94,0,0,0,0,3.19,0,6.37,1.06,4.25,8.5,0,0,2.12,0,0,0,0,44.61,3.19,6.37,9.56,0,2.12,0,0,0,0,1.06,0,0,8.5,0,2.12,36.11,3.19,0
 96-106,0,0,1.09,0,4.37,0,5.46,1.09,2.19,18.58,0,0,4.37,1.09,0,1.09,0,44.81,2.19,4.37,14.21,0,0,0,0,0,0,1.09,0,0,5.46,1.09,1.09,38.25,3.28,0
108-118,0,0,0,0,2.3,0,3.06,0.77,0.77,9.19,0,0,0.77,0,0,2.3,0,40.6,1.53,4.6,11.49,0,0.77,0,1.53,0,0,0,0,0,3.83,0,0,23.74,1.53,0
120,0,0,0,0,3.92,0,7.84,0,1.96,11.76,0,0,0,0,0,0,0,25.48,1.96,3.92,11.76,0,3.92,0,1.96,0,0,0,0,0,1.96,0,1.96,35.28,0,0
