stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,0,0,15.77,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,49.95,2.63,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,56.65,9.44,0,0,22.03,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,8,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,2,25,0,0,1,0,0,3,0,2,0,1,7,19,0,0,0,0,0
 24-34,0,0,0.82,0.82,7.39,0,0,2.46,0,4.93,0,0.82,0,0,0,0,0.82,0,0,0,10.67,0.82,0,1.64,72.24,0.82,0,1.64,0,0,7.39,0,0,3.28,0,0,17.24,0,0,2.46,0,0.82
 36-46,0,0,0,0,1.61,0.81,0,5.64,0,2.42,0.81,4.03,0,0,0,0.81,0,0,0,0,8.06,0.81,0,2.42,51.56,0,0.81,0,0,0,13.7,0,0,0,0,0,14.5,0,0,0.81,0,0
 48-58,0,0,0,0,2.87,0,0,15.49,0.57,0.57,0,9.18,0,0,0.57,0,0,1.72,0,1.15,15.49,0.57,0,3.44,35,0,1.15,0,0,0,4.59,0,0,0,0,0,14.92,0,0.57,2.3,0,1.15
 60-70,0,0,0,0,1.96,0,0,23.56,0,1.96,0.98,10.8,0,0,0,0,0,0.98,0,0,20.61,0,0.98,1.96,39.26,0.98,0,3.93,0,0,8.83,0,0,0,0,0,6.87,0,0.98,0,0,1.96
 72-82,0,0,0.98,0,6.87,4.91,0,27.49,0.98,0.98,0.98,12.76,0,0,0,0,0,0,0,0.98,44.17,0.98,1.96,0.98,37.3,0,1.96,0.98,0,2.94,13.74,0,0,0,0,0,2.94,0,1.96,4.91,1.96,3.93
 84-94,0,0,1.06,0,5.31,5.31,1.06,18.05,2.12,0,1.06,18.05,3.19,0,1.06,3.19,0,2.12,0,1.06,39.3,0,1.06,3.19,26.55,0,0,2.12,0,0,30.8,0,0,0,0,0,0,0,3.19,3.19,0,3.19
 96-106,0,0,0,0,4.37,2.19,0,14.21,0,1.09,0,18.58,1.09,0,3.28,3.28,0,3.28,5.46,1.09,25.14,0,1.09,1.09,24.04,0,2.19,4.37,0,1.09,34.97,0,0,1.09,0,0,3.28,3.28,1.09,3.28,1.09,1.09
108-118,0,0,0,0,6.89,3.83,1.53,20.68,1.53,1.53,1.53,12.26,3.06,0,0,3.06,2.3,2.3,0,0,22.98,1.53,0.77,1.53,27.57,0.77,1.53,0,0,0,12.26,0,0,1.53,0.77,0,0.77,0.77,0,2.3,2.3,3.06
120,0,0,0,0,11.76,1.96,0,7.84,0,3.92,0,9.8,5.88,0,1.96,7.84,0,1.96,3.92,0,11.76,0,0,3.92,41.16,1.96,0,1.96,0,0,9.8,0,0,0,0,0,0,0,1.96,1.96,3.92,0
