stage,endocrine.pancreas,epidermis,exocrine.pancreas,eye,glial,gut,hatching.gland,mesenchyme,mural.cell,neural,notochord,pronephros,spinal.cord,vascular.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,3,0,0,0
 24-34,0,0,0,0.82,0,0,0,1.64,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,2.42,0,6.45,0.81,0,0.81,0
 48-58,0,0,0,0,0,0,0.57,2.87,0,9.75,0,0,1.15,0
 60-70,0,0,0,0.98,0,0.98,0,7.85,0,11.78,0,0.98,0,0.98
 72-82,1.96,0.98,0,4.91,0,0.98,0,8.83,0.98,15.71,0,1.96,0.98,0.98
 84-94,3.19,1.06,0,4.25,1.06,0,1.06,7.43,0,15.93,0,0,0,0
 96-106,3.28,1.09,0,2.19,1.09,0,0,5.46,0,12.02,0,0,0,1.09
108-118,0.77,0,0.77,5.36,2.3,0.77,0,9.96,0,16.85,1.53,0,2.3,0
120,0,0,1.96,0,0,0,0,1.96,0,13.72,0,0,0,0
