stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0.82,0,0.82,0,3.28,0,0,0
 36-46,0,0,0,0.81,0,0,1.61,0,0,0,0,0,0,0,0,4.03,0,0,0
 48-58,0,0,0,0,0,0,2.87,0,0,0,0,1.15,0,0,0,2.3,0,0.57,0
 60-70,0,0,0,0.98,0,0,7.85,0,0,0,0,0.98,0,0,0,1.96,0,0,0
 72-82,0,0,0,0,0,0,3.93,0.98,0,0.98,0,0.98,0,0,0,2.94,0,0,0
 84-94,0,0,0,0,0,0,9.56,0,0,0,0,1.06,0,0,0,1.06,0,0,0
 96-106,0,0,0,3.28,0,0,18.58,0,3.28,0,0,1.09,0,1.09,0,2.19,0,0,0
108-118,0,0.77,0.77,0.77,0,0.77,13.02,0,2.3,0,0.77,0.77,0,1.53,0,1.53,0,0,0.77
120,0,0,0,0,0,0,21.56,0,0,0,0,0,0,0,0,0,0,0,1.96
