stage,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,ionocyte,mucous,muscle,neural,periderm,spinal.cord
 14-21,0,0,0,0,1,0,0,0,0,1,1
 24-34,0,0.82,1.64,0,0,0,0,0,1.64,2.46,0
 36-46,0,0,0,0,0,0,0,0,1.61,1.61,0.81
 48-58,0,0,1.15,0,0.57,0,0.57,0,0,2.3,1.15
 60-70,0,1.96,0.98,0.98,0,0,0,0.98,0,6.87,0
 72-82,0,2.94,0,0,0,0.98,0,0,0.98,7.85,0.98
 84-94,0,0,0,0,0,0,0,0,1.06,12.74,0
 96-106,1.09,4.37,0,1.09,0,0,0,0,3.28,14.21,0
108-118,0,2.3,0.77,0,0,0,0,0,0,9.96,0
120,0,1.96,0,0,0,0,1.96,0,1.96,13.72,0
