stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,35,0,0,7,0,0,0,0,2,22,0,0,0,0,0
 24-34,0,0,1.64,0,0,0.82,0,0,0,0,0,0,0,0,0,0.82,4.93,0,0,0.82,142.01,0,5.75,3.28,0,0,0,0,2.46,20.52,0,0,2.46,0,0
 36-46,0,0,1.61,0,0,2.42,0,0,1.61,0,0.81,0,0,0,0,0,8.06,0,0,0.81,215.92,0,1.61,0,0,0,4.03,0.81,0,20.95,0,0,0,0,0
 48-58,0.57,0,2.3,0,0,21.23,0,0.57,3.44,0,0,0,0,0,0.57,0.57,9.18,0,0,0.57,477.41,0,1.72,1.15,0,0,0,1.72,0,44.18,0,0,1.15,0,0.57
 60-70,0,0,1.96,0,0,60.85,0.98,0,5.89,2.94,0,0.98,0,0,0,0,9.82,0,0.98,0.98,886.31,0,3.93,0.98,0,0,0.98,0,0,63.8,0,0,1.96,0,1.96
 72-82,0,0.98,14.72,5.89,0,157.07,0.98,0.98,25.52,6.87,0,0.98,0,2.94,0.98,0,52.03,0,1.96,4.91,1182.9,0,0,2.94,0,0,4.91,0,0,76.57,0.98,0.98,2.94,1.96,2.94
 84-94,0,0,19.12,2.12,0,135.94,1.06,2.12,21.24,16.99,0,3.19,0,1.06,0,0,26.55,0,2.12,1.06,732.81,1.06,2.12,1.06,0,1.06,4.25,1.06,0,54.16,1.06,0,1.06,1.06,0
 96-106,0,1.09,26.23,2.19,1.09,110.38,0,4.37,24.04,10.93,2.19,1.09,2.19,0,1.09,0,29.51,0,1.09,2.19,637.13,0,1.09,2.19,0,1.09,4.37,0,0,21.86,0,0,4.37,1.09,0
108-118,0,0,9.96,0.77,0,85.79,0,0,14.55,6.89,0,1.53,0,0,0.77,0,35.23,0,0,5.36,759.84,1.53,2.3,3.06,0,1.53,1.53,0,0,22.21,0,0,0.77,0,0
120,0,1.96,13.72,0,1.96,111.71,1.96,0,13.72,7.84,1.96,3.92,0,0,0,5.88,29.4,1.96,1.96,3.92,915.22,1.96,3.92,1.96,0,0,1.96,0,0,17.64,1.96,0,3.92,1.96,0
