stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,2.63,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,4,0,0,0,1,1,0,0,0
 24-34,0,0,0,0,2.46,0,0.82,0,0,0,0,0,0,0,1.64,0,0.82,6.57,0,0,0,0,1.64,0,0,0
 36-46,0,0,0,0,0,0,14.5,0,0,0,0,0,0.81,0,4.03,0.81,0.81,20.14,0,0,0,0,3.22,0,0.81,0
 48-58,0,0,0,0,0,0,65.41,0,0,0.57,0,0,0,0,4.02,0,1.15,36.72,0,0,0,0,4.59,0,0.57,0
 60-70,0,0,0,0,0,0,122.69,0.98,2.94,1.96,0,0,0,0,3.93,0.98,0.98,89.32,0,0,0,0,3.93,0.98,0.98,0
 72-82,0,0,0.98,0,0,0,99.15,0,0.98,4.91,0,0,0,0,7.85,0.98,0.98,107.98,0.98,0,0,0,2.94,0,2.94,0.98
 84-94,0,0,0,0,0,0,31.86,0,0,3.19,0,1.06,0,0,5.31,1.06,1.06,49.92,0,0,1.06,0,2.12,0,4.25,0
 96-106,0,0,0,0,0,0,15.3,0,0,4.37,1.09,0,0,0,6.56,0,1.09,45.9,3.28,0,1.09,0,0,0,0,1.09
108-118,0,0,0,0,1.53,0,21.45,0,1.53,0.77,0.77,0,0.77,0,11.49,0.77,0,76.6,0,0,0,0,0.77,0,0.77,0
120,0,0,0,0,0,0,21.56,0,0,1.96,0,0,0,1.96,13.72,0,0,52.91,1.96,0,0,0,0,1.96,0,0
