stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,6.29,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,72.38,0,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,6,1,1,0,0,0,0,0,0,0,2,1,1,1,0,0,6,0,0,84,0,0,2,0,3,4,0,0
 24-34,0,0,0,7.39,0,2.46,0,0,0,1.64,0,2.46,0,23.8,0,0.82,1.64,0,4.93,37.76,0,2.46,23.8,0,0,0,0,0,10.67,0,0
 36-46,0,0,0,1.61,0,3.22,0,0.81,0,1.61,0,0,0,9.67,0.81,0,3.22,0,4.03,75.73,0,0.81,16.92,0,2.42,0,0,0,14.5,0,0
 48-58,0,0,0,0.57,0,9.75,0,0,0.57,1.15,0,0.57,0,14.35,0,0,3.44,0,6.89,96.4,0,1.72,12.05,0,0,0,0,0,9.75,0,0
 60-70,0,0.98,0,0.98,0,39.26,0.98,0,5.89,0.98,0,0,0.98,15.7,0.98,0,4.91,0,3.93,252.25,0,2.94,8.83,0,0.98,0,0,0,20.61,0.98,0
 72-82,0,6.87,0,1.96,0,84.42,0,1.96,7.85,4.91,0,0,0,22.58,0.98,0,8.83,0,4.91,335.73,0,2.94,23.56,0,0.98,0,0,0,14.72,0.98,0.98
 84-94,0,0,0,4.25,0,62.66,0,0,8.5,4.25,1.06,1.06,0,32.92,0,0,4.25,0,1.06,164.62,0,2.12,12.74,0,0,0,0,0,6.37,0,0
 96-106,0,3.28,0,3.28,1.09,61.2,1.09,1.09,6.56,8.74,0,3.28,0,63.39,0,0,4.37,0,2.19,192.34,1.09,4.37,17.49,0,1.09,0,0,0,9.84,1.09,1.09
108-118,0,0.77,0,5.36,0,55.15,0,0,9.19,4.6,0,0.77,0,34.47,1.53,0,6.89,1.53,1.53,210.64,0,1.53,16.09,0,1.53,0,0.77,0,3.06,0.77,0
120,0,1.96,0,11.76,0,39.2,0,0,7.84,1.96,0,0,0,17.64,1.96,1.96,3.92,0,0,272.41,0,3.92,9.8,0,1.96,0,0,0,11.76,1.96,0
