stage,axial,blastomeres,endoderm,erythrocytes,eye,glial,immune,ionocyte,mesenchyme,neural,notochord,paraxial_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,26.36,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,91.94,0,0,0,0,0,0,0,18.39,0,6.13,0,0,0,0,0,0
  7-9,5.26,7.89,23.66,0,0,0,0,0,0,78.86,28.92,205.04,0,0,0,0,0,0
 10-12,0,0,22.03,3.15,0,0,0,0,0,37.76,0,47.2,34.62,0,3.15,0,0,0
 14-21,0,0,0,27,0,0,0,0,0,1,0,0,0,0,0,1,0,11
 24-34,0,0,0,3.28,0,0,3.28,0,0,3.28,0,0,0,0,0,0,0,15.6
 36-46,0,0,0,0,0,0,4.03,0,0,1.61,0,0,0,0,0,0,0,1.61
 48-58,0,0,0,0,0,0,4.59,0,0.57,10.33,0,0,0,0,0,1.15,0,0.57
 60-70,0,0,0,0,1.96,0,3.93,0,0,7.85,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,0.98,13.74,0,1.96,7.85,0,0,0,0,0,0,0.98,0.98
 84-94,0,0,0,0,0,0,14.87,0,0,3.19,0,0,0,1.06,0,0,0,1.06
 96-106,0,0,0,0,0,1.09,24.04,0,1.09,3.28,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0.77,27.57,0.77,1.53,7.66,0,0,0,0,0,0,0,0
120,0,0,0,3.92,0,0,39.2,1.96,1.96,7.84,0,0,0,0,0,0,0,1.96
