stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,76.23,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,6.29,0,0,0,0,0,0,0,0,81.82,0,0,0,0,0,0,0,0,0,0,0,56.65,0,0,0,15.73,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,1,83,28,15,0,0,0,0,0,6,12,0,1,0,0,0,0,213,0,0,336,259,1,0,4,0,0,0,64,1,1,293,47,0,4,0,1
 24-34,0,1.64,136.26,5.75,23.8,0,4.93,4.93,3.28,0.82,0.82,10.67,0,1.64,0.82,0.82,1.64,0.82,540.94,0,1.64,370.21,179.77,2.46,0,4.1,0,0,2.46,3.28,0,1.64,53.36,45.15,0,6.57,0,0
 36-46,0,0,88.62,0,25.78,0.81,5.64,18.53,4.83,0,0,11.28,0,0,0,0.81,0.81,0,646.15,0.81,5.64,273.12,111.18,0.81,2.42,2.42,0,0.81,1.61,3.22,0,0,0.81,37.06,1.61,4.03,0,0
 48-58,0,0,71.15,0.57,17.79,0.57,10.9,13.77,4.59,0.57,0,8.61,0,0,0.57,0,0,0,505.52,0.57,10.9,171.57,49.92,1.72,1.15,2.3,0,1.72,0.57,0,0,0,0,8.03,4.02,3.44,0.57,1.15
 60-70,0,0,65.76,0,18.65,0,7.85,11.78,0,1.96,0,6.87,0.98,0,0,0.98,0,0,407.33,1.96,12.76,85.39,27.48,0.98,0,0,0,7.85,0.98,0,0,1.96,0,1.96,7.85,0.98,1.96,0
 72-82,0,0,55.95,0.98,30.43,1.96,4.91,22.58,8.83,1.96,0,6.87,0.98,0,0.98,0.98,0,0,379.9,0.98,23.56,80.5,20.61,0.98,0,0.98,0,10.8,0.98,0,0,0,0,0.98,33.38,7.85,7.85,0
 84-94,0,0,130.63,0,23.36,3.19,6.37,12.74,5.31,1.06,0,10.62,2.12,1.06,1.06,0,0,0,274.01,1.06,21.24,70.09,22.3,1.06,0,1.06,0,9.56,1.06,0,0,0,0,2.12,18.05,6.37,6.37,0
 96-106,0,0,84.15,0,24.04,1.09,4.37,12.02,5.46,1.09,0,14.21,0,0,0,1.09,0,0,185.78,1.09,16.39,39.34,24.04,0,0,2.19,0,22.95,1.09,0,0,0,0,0,14.21,4.37,13.11,0
108-118,0,0,65.11,1.53,19.92,1.53,12.26,6.13,2.3,2.3,0,7.66,0.77,0.77,0,0,0,0,176.17,0,13.79,47.49,25.28,1.53,0.77,0,0,24.51,0.77,0,0,0,0,0,13.79,7.66,6.13,0
120,0,0,48.99,0,17.64,0,15.68,5.88,0,0,0,5.88,0,0,1.96,0,0,0,101.91,0,11.76,35.28,17.64,3.92,0,1.96,0,9.8,0,0,0,0,0,1.96,7.84,9.8,9.8,0
