stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,mesenchyme,mural_cell,neural,notochord,olfactory,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0
  7-9,5.26,0,0,0,0,2.63,0,0,0,0,0,39.43,2.63,0,5.26,0,0,0,0,0
 10-12,0,0,6.29,0,0,6.29,0,0,3.15,0,0,18.88,0,0,15.73,0,0,0,0,0
 14-21,0,0,0,1,0,0,1,0,0,1,0,11,3,0,0,0,1,5,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,2.46,0,8.21,0,0,0,0,0.82,2.46,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,1.61,0.81,10.47,0,0,0,0,0,0.81,0.81,0
 48-58,0,0,0,0.57,0,1.15,1.72,0,0,2.3,0,6.31,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,0,3.93,0,0,0,1.96,0,6.87,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0.98,0,3.93,0.98,0.98,0,0.98,0,2.94,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,2.12,0,0,0,2.12,0,1.06,0,0,0,0,0,0,1.06,1.06
 96-106,0,0,0,1.09,1.09,0,2.19,0,0,1.09,0,6.56,0,0,0,0,0,1.09,0,0
108-118,0,0,0,1.53,0,2.3,0.77,0,0,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0
