stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
 24-34,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,9.85,0,0,0,5.75,0,3.28,0,0,0,0,0
 36-46,0,0,0,0,1.61,1.61,0,0,0,0,0,0,0,0,1.61,0,34.64,0,0,0,16.11,0,4.83,0,0,0,0,0
 48-58,0,0,0,1.15,0,2.87,0,1.15,0,0,0,0,0,0,0.57,0.57,30.41,1.15,1.15,0,25.82,0,4.59,0,0,0,0,0.57
 60-70,0,0,0,0,2.94,9.82,0.98,0,0,0,0.98,0,0,0,0.98,0.98,49.08,1.96,0,0,33.37,0,5.89,0.98,0,0.98,0,0
 72-82,0,0.98,0,2.94,4.91,16.69,0,0.98,2.94,0,0.98,0,0,0,0,0,42.21,2.94,0.98,0,32.39,0,3.93,0.98,0,0,0,0
 84-94,0,3.19,0,4.25,2.12,4.25,0,1.06,5.31,2.12,0,3.19,0,0,0,1.06,20.18,1.06,1.06,0,76.47,0,0,2.12,1.06,1.06,0,0
 96-106,0,1.09,0,4.37,12.02,9.84,1.09,1.09,9.84,1.09,0,12.02,2.19,1.09,1.09,2.19,16.39,9.84,3.28,0,62.29,0,1.09,0,0,0,1.09,0
108-118,0,0,0.77,10.72,1.53,2.3,0,0.77,2.3,0,0.77,5.36,0.77,0,1.53,0,18.38,7.66,0.77,0,65.11,0,0.77,3.06,0,0,0,0
120,0,0,0,19.6,3.92,0,1.96,0,5.88,0,0,5.88,1.96,0,0,3.92,17.64,5.88,1.96,0,90.15,1.96,0,1.96,0,0,0,0
