stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,65.89,645.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,245.19,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,47.32,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,3.15,0,0,81.82,0,0,0,0,0,15.73,0,0,0,0,0
 14-21,0,0,0,0,16,4,1,0,0,0,151,1,0,2,0,0,0,0,0,0,4,0,9,84,7,7,17,10,0,1,68,74,52,190,344,0,0,1,0
 24-34,0,0,0,0,7.39,0.82,4.93,0,0,0,155.14,0,0,0,0,0,0,1.64,0.82,0.82,8.21,0,4.93,116.56,0.82,48.43,18.06,0,1.64,0,0,91.12,4.1,21.34,335.73,0,0,0,0
 36-46,0,0,0,0,1.61,0,5.64,1.61,0.81,0,94.26,0,0,0,0,0,0.81,0.81,0.81,0,2.42,0,3.22,137.77,0.81,43.51,5.64,0,0.81,1.61,0,42.7,4.03,1.61,246.53,0,0,0,0
 48-58,0,0,0,0,0,0,17.21,0,0,1.15,90.66,0,0,1.15,0,0,0,3.44,0.57,0,4.02,0,5.74,98.12,0,36.15,8.61,0,0.57,0,0,17.21,5.74,0,206,0,0,0,0.57
 60-70,0,0,0,0,0,0,23.56,0.98,0,0,72.63,1.96,0,0,0,0,0,8.83,0,0,9.82,0,2.94,90.3,0,33.37,19.63,0,0,0,0,9.82,4.91,0,135.45,0,0,0,0
 72-82,0,0,5.89,0,0,0,32.39,1.96,0.98,0,107.98,3.93,0,0,0,0,0,17.67,0,0,9.82,0,2.94,92.28,0,87.37,37.3,0,0,0,0,8.83,2.94,0,81.48,0,0,0.98,0
 84-94,0,0,4.25,2.12,2.12,0,27.61,2.12,0,1.06,82.84,3.19,0,0,0,0,3.19,24.43,0,0,4.25,1.06,7.43,46.73,0,92.4,58.41,0,0,0,0,21.24,1.06,0,70.09,0,0,0,0
 96-106,0,0,1.09,5.46,5.46,0,32.79,2.19,0,0,63.39,1.09,0,0,1.09,1.09,0,43.71,0,0,8.74,0,4.37,43.71,0,154.09,77.59,0,2.19,1.09,0,17.49,2.19,0,67.76,0,1.09,0,1.09
108-118,0,0,1.53,4.6,3.06,0,20.68,0.77,0,0,51.32,0,0,0,0,0,0.77,29.87,0.77,0,6.13,0.77,6.13,56.68,0.77,95.75,48.26,0,0,0.77,0,16.09,3.06,0,42.13,0.77,0,2.3,0.77
120,0,0,1.96,1.96,1.96,1.96,15.68,0,0,0,13.72,1.96,0,0,1.96,1.96,1.96,29.4,0,0,5.88,0,11.76,47.03,0,68.59,43.12,0,0,1.96,0,11.76,3.92,0,31.36,0,1.96,1.96,0
