stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,6.29,0,6.29,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,8,1,0,28,0,0,0,6,0,0,0,0,0,0,0,0,0,18,0,0,5,184,0,0,3,0,0,4,2,0,19,10,21,0,0,0,0,0
 24-34,0,0,0,6.57,0,0,55.82,2.46,0,0,6.57,0,0,4.1,0,0,0,2.46,0.82,0,56.64,0,0,28.73,379.24,1.64,0.82,2.46,0,0,13.13,0,0,11.49,9.03,41.04,0,0,0.82,0,0
 36-46,0,0,0,2.42,0.81,0,33.84,5.64,0,0,15.31,0,0.81,3.22,0,0,0,0.81,0,0,64.45,0,0.81,11.28,405.25,1.61,0.81,3.22,0,0,4.83,0,0,4.83,0.81,52.37,0,0.81,0,0,0
 48-58,0,0,0,3.44,0,0,44.76,2.87,0,1.72,27.54,0,0,1.15,0,1.15,0.57,0,0,2.3,62.54,0,1.72,24.67,279.44,1.72,0.57,1.72,0,0,4.59,0,0,5.74,0,39.59,0,0.57,1.72,0,0
 60-70,0,0,0,1.96,0,0,143.3,4.91,0,1.96,26.5,0.98,0,0.98,0,0.98,0,0,0,1.96,90.3,0,5.89,13.74,266.97,0,0,3.93,0,0,7.85,0,0,4.91,0,40.24,0,6.87,0.98,0.98,0.98
 72-82,0,0,0,1.96,0,0,232.65,3.93,0,1.96,31.41,0.98,0,1.96,0.98,0.98,2.94,0.98,0,0,107,0,9.82,22.58,333.77,0.98,1.96,5.89,0,0,7.85,0,2.94,2.94,0,37.3,0,11.78,1.96,19.63,0
 84-94,1.06,0,0,7.43,2.12,1.06,125.32,11.68,0,1.06,25.49,2.12,0,1.06,3.19,1.06,2.12,1.06,0,1.06,78.59,0,5.31,22.3,180.55,0,1.06,6.37,0,0,21.24,0,0,8.5,0,19.12,0,15.93,2.12,22.3,2.12
 96-106,0,0,0,6.56,3.28,0,116.93,13.11,1.09,1.09,18.58,3.28,1.09,2.19,2.19,1.09,0,1.09,1.09,0,65.57,0,2.19,13.11,199.99,0,0,3.28,0,0,18.58,0,0,3.28,0,7.65,3.28,14.21,4.37,18.58,1.09
108-118,0,0,0,12.26,1.53,2.3,85.02,7.66,0,1.53,19.15,1.53,0,1.53,3.83,0.77,0.77,0.77,1.53,0,57.45,0.77,1.53,18.38,168.51,0,0,3.83,0,1.53,19.15,0,0,3.06,0,6.89,0.77,15.32,6.13,11.49,0
120,0,0,1.96,17.64,0,0,56.83,7.84,3.92,0,19.6,1.96,0,0,1.96,0,1.96,3.92,0,1.96,35.28,0,5.88,13.72,227.34,1.96,0,5.88,0,0,13.72,1.96,0,5.88,0,15.68,0,1.96,3.92,23.52,0
