stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.39,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,7.25,0,0,23.36,0,0,0.81,0,1.61,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0.57,0,2.3,2.3,0,0,0,0,0.57,0,15.49,0,0,24.1,0,0.57,0,0.57,5.74,0,0,0,0,0.57,0,0,0,2.87,0,0,0,5.16
 60-70,0,5.89,0,4.91,8.83,0,0,0,0,0,0,57.91,0,0,21.59,3.93,0,0,0,6.87,0,0.98,0,0,1.96,0,0.98,0,0,0,0,0,2.94
 72-82,0,0.98,0.98,5.89,23.56,0,0.98,4.91,0.98,3.93,0,59.88,0,0,18.65,2.94,0,0,2.94,5.89,0,0.98,0,0.98,0.98,2.94,0.98,0,3.93,0.98,0,1.96,11.78
 84-94,0,11.68,1.06,10.62,13.81,0,0,1.06,0,3.19,0,60.54,0,0,14.87,3.19,0,0,1.06,9.56,0,0,0,0,3.19,1.06,2.12,0,1.06,0,0,1.06,0
 96-106,0,9.84,0,6.56,103.82,1.09,0,4.37,1.09,4.37,0,45.9,1.09,2.19,10.93,10.93,1.09,2.19,6.56,14.21,0,1.09,1.09,0,5.46,1.09,5.46,0,0,0,1.09,2.19,3.28
108-118,1.53,16.09,0.77,16.85,121.79,0.77,0,4.6,3.06,9.96,0.77,45.19,2.3,2.3,8.43,10.72,0,0.77,14.55,32.94,0.77,0.77,0.77,0,6.13,1.53,13.79,0,0.77,0,0.77,2.3,3.06
120,1.96,15.68,0,13.72,78.39,1.96,0,7.84,13.72,13.72,0,45.08,0,0,3.92,15.68,0,0,5.88,17.64,0,0,0,1.96,9.8,7.84,5.88,0,0,0,0,1.96,0
