stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,7.89,0,0,5.26,0,0,0,0,0,0,0,44.69,2.63,0,0,18.4,0,0,0,0,0,0,0,0
 10-12,0,3.15,12.59,0,0,12.59,0,0,0,0,0,0,0,31.47,6.29,0,0,50.35,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,8,1,6,0,0,0,0,0,1,5,41,0,0,0,2,0,5,0,1,2,14,0,0
 24-34,0,0,0,0.82,0,2.46,0,0.82,0,0,0,5.75,0.82,19.7,0,2.46,0,0,2.46,0,0,0,1.64,7.39,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,1.61,4.83,0,1.61,0.81,0,1.61,0,0,0,0,3.22,0.81,0
 48-58,0,0,0,0,0,1.72,0,0.57,0.57,0,0,4.02,0.57,0.57,0,0.57,0,0,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0.98,0.98,2.94,0,0.98,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,0,0.98,1.96,0,0,0,0.98,0,4.91,0,1.96,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,3.19,0,0,0,0,1.06,2.12,0,3.19,0,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.19,0,2.19,1.09,0,0,2.19,0,2.19,0,4.37,0,0,1.09,0,0,0,0,0,1.09,0
108-118,0,0,0,0.77,0,0,0,0.77,0,0,0,0.77,0,6.13,0,3.83,0.77,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0
