stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,373.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,7.89,0,5.26,0,0,10.51,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,141.95,2.63,0,0,49.95,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,15.73,0,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,204.55,6.29,0,0,75.53,0,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,11,1,6,0,1,0,1,1,1,0,0,0,0,0,0,0,6,1,0,8,77,0,0,5,0,0,11,2,1,19,30,0,0,1,0,1
 24-34,0,0,0,0,9.03,0,14.78,0,0.82,0,5.75,0,0,0,0,0.82,0,0,0,0.82,22.16,0,0,9.85,157.6,0.82,1.64,2.46,0,6.57,0,0,0,3.28,32.83,0,0,4.1,0,0
 36-46,0,0,0,0,0,0,28.2,0.81,0.81,0.81,3.22,0,0,0,0,0.81,0,0,0,0,20.95,0,0.81,6.45,132.13,0.81,1.61,0.81,0,3.22,0,0.81,0,0,26.59,0,0,4.83,0,0
 48-58,0,0,0,0,4.02,0.57,48.2,0.57,0,4.02,9.75,0,0,0,0.57,0.57,0,1.15,0.57,0.57,20.66,0,0.57,2.87,117.63,1.15,1.72,0.57,0,2.3,0,0.57,0,0,14.92,0,0,1.72,0,0
 60-70,0,0,0,0,1.96,0.98,58.89,0,0,0.98,8.83,0,0,0,0,0,0.98,0.98,0,0,34.35,0,0,3.93,123.67,0,0,2.94,0,0.98,0,0,0,0,21.59,0,0,1.96,0.98,0
 72-82,0,0,0,0,1.96,1.96,26.5,0.98,0,1.96,4.91,0,0,0,0,0,0,0,0,0,62.83,0,0,1.96,84.42,0,1.96,0.98,0,0.98,0,0,0,0,8.83,0.98,0,0.98,0,0
 84-94,0,0,1.06,0,3.19,3.19,37.17,0,1.06,0,8.5,0,0,1.06,2.12,0,0,1.06,0,0,43.54,1.06,1.06,8.5,57.35,0,4.25,2.12,0,4.25,0,0,0,0,6.37,1.06,1.06,2.12,2.12,0
 96-106,0,0,1.09,0,4.37,2.19,21.86,0,1.09,1.09,21.86,1.09,0,0,2.19,1.09,0,2.19,0,0,38.25,1.09,1.09,4.37,71.04,3.28,6.56,3.28,0,5.46,0,0,0,0,2.19,0,0,1.09,0,1.09
108-118,0,0,0.77,0,3.06,0.77,22.98,1.53,1.53,0.77,13.02,1.53,0,0.77,0.77,0.77,1.53,1.53,0,0,27.57,0,0,8.43,66.64,0.77,1.53,4.6,0,4.6,0,0,0,0,5.36,0,0,0.77,1.53,1.53
120,0,0,0,0,5.88,0,5.88,3.92,1.96,0,1.96,3.92,0,0,0,0,0,0,0,0,21.56,0,0,1.96,43.12,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
