stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,heart,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,15.77,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,44.06,0,0,0,12.59,3.15,0,0,6.29,3.15,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,1,0,0,3,0,0
 24-34,0,0,0,0.82,0.82,1.64,0.82,0,0,0,0,0.82,0,0,27.91,0,0.82,0,0,0,0,0,0,0,12.31,2.46,0
 36-46,0,0,0,0.81,0,8.06,0,0,0.81,0,0,1.61,0,0,44.31,0,0,0,0,0,0,0,0,0,11.28,0,0
 48-58,0,0,0,0.57,0,17.79,3.44,0,0,0,0.57,4.02,0.57,0,55.09,0,0,0,0,0,0,0,0,0,9.75,0,1.15
 60-70,0,0,0,0,0,16.69,0.98,0,0,0,0,3.93,0,0.98,67.73,0,0,0,0,0.98,0,0,0,0,7.85,0,0
 72-82,0,0,0.98,0,0,20.61,2.94,0,0,0,0,4.91,0,0,52.03,0,0.98,0.98,0,0,0,0,0,0,2.94,0,0
 84-94,0,0,0,0,0,15.93,2.12,0,0,0,0,2.12,0,0,25.49,0,0,0,0,1.06,0,0,0,0,2.12,0,0
 96-106,0,0,0,1.09,1.09,10.93,4.37,0,1.09,0,0,0,0,0,20.76,0,0,0,0,0,0,0,0,0,1.09,1.09,0
108-118,0,0,0,0.77,0,3.83,2.3,0.77,0,0,0,1.53,0.77,0,12.26,0,2.3,0.77,0,0,0,0,0,0,0.77,0,0
120,0,0,0,0,0,1.96,1.96,0,0,1.96,0,3.92,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0
