stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,434.87,8025.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.02,0,0,0,0,0,0,0,0,0,0,0
  5-6,373.91,5651.52,0,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,85.81,0,0,0,18.39,0,85.81,0,0,0,0,0,0,0,0,0,0,0
  7-9,26.29,89.38,0,162.98,0,0,0,333.85,0,0,0,0,49.95,0,0,0,0,0,0,0,0,0,0,2631.34,21.03,0,0,922.68,0,2.63,34.17,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,122.73,0,84.97,0,22.03,0,317.84,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,3.15,2580.51,22.03,0,0,931.5,0,0,9.44,3.15,69.23,0,0,15.73,0,0,0,0,0
 14-21,0,0,1,12,154,59,0,145,0,0,37,6,0,1,1,7,0,0,2,84,0,0,76,2260,27,9,12,65,0,16,7,153,6,0,91,515,0,0,5,0,0
 24-34,0,0,0,8.21,63.21,13.95,0,489.23,2.46,4.1,62.39,0.82,0,2.46,6.57,4.93,0.82,1.64,3.28,240.51,0,1.64,79.62,2313.99,3.28,18.06,25.45,0,0.82,29.55,0,0,0.82,0.82,12.31,457.22,0,0,27.09,0,5.75
 36-46,0,0,0,0,23.36,1.61,0,535.77,4.03,1.61,37.06,2.42,0,0.81,1.61,0.81,2.42,2.42,2.42,136.16,0,4.83,45.12,1133.58,1.61,12.09,8.86,0,0,14.5,0.81,0.81,1.61,0,0,237.67,0,0,14.5,0,1.61
 48-58,0,0.57,0,0,16.64,1.72,0,459.62,2.87,4.59,39.59,0.57,0,1.72,2.3,2.3,1.15,1.15,2.87,144.03,1.72,4.02,40.17,476.26,0,2.87,5.16,0.57,0,11.48,0,0,0.57,0,0,60.25,0,0,14.35,0.57,3.44
 60-70,0,0,0,0,22.58,0.98,0,331.75,2.94,1.96,56.93,9.82,0,0,0.98,1.96,1.96,4.91,0.98,104.04,0,6.87,18.65,311.14,0.98,0.98,6.87,0,0.98,4.91,0,0,0,0,0,27.48,0,0,8.83,0.98,3.93
 72-82,0,0,1.96,0,16.69,4.91,0,169.83,0,5.89,60.86,8.83,0,3.93,7.85,5.89,1.96,0.98,1.96,139.4,0,4.91,27.49,251.31,2.94,5.89,10.8,0,0,7.85,0,0,3.93,0,0,7.85,0,1.96,7.85,1.96,0
 84-94,0,0,0,0,39.3,9.56,0,164.62,3.19,6.37,54.16,18.05,1.06,0,16.99,4.25,2.12,6.37,1.06,121.07,1.06,9.56,31.86,232.59,6.37,7.43,3.19,0,0,11.68,0,0,0,0,0,6.37,2.12,0,10.62,1.06,0
 96-106,0,0,0,0,32.79,10.93,1.09,139.88,2.19,4.37,55.74,12.02,0,4.37,13.11,2.19,4.37,2.19,3.28,101.63,1.09,4.37,19.67,182.51,3.28,6.56,8.74,0,1.09,15.3,0,0,3.28,0,0,2.19,0,2.19,17.49,0,2.19
108-118,0,0,0,0,32.94,18.38,1.53,104.94,1.53,6.13,55.15,9.19,0,0.77,9.19,3.06,1.53,3.83,1.53,69.7,0.77,3.83,20.68,244.34,2.3,4.6,13.02,0,0.77,13.79,0,0,0.77,0.77,0,3.06,0.77,0,17.62,0.77,0.77
120,0,0,0,0,29.4,27.44,0,82.31,0,0,66.63,5.88,0,0,17.64,1.96,9.8,0,1.96,54.87,0,3.92,23.52,227.34,1.96,1.96,3.92,0,0,13.72,0,0,0,0,0,5.88,0,1.96,23.52,1.96,0
