stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,12.26,324.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,18.4,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.32,5.26,0,0,57.83,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.82,3.15,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7,1,2,0,0,0,1,1,0,0,1,0,0,0,5,0,0,1,64,2,0,1,0,0,0,6,1,0,3,20,0,1,0,0
 24-34,0,0,0,0,4.1,0,3.28,0,0,0.82,1.64,0,0,0,1.64,0.82,0,0,6.57,0,0,0.82,106.71,0,0.82,2.46,0,0,1.64,0.82,0,0,1.64,21.34,0,0,0,0.82
 36-46,0,0,0,0,1.61,0,16.11,0,0,0,3.22,0,0,0,0,0,0,0,9.67,0,0,4.03,70.09,0,0,0.81,0,0,2.42,0,0.81,0.81,0,16.92,0,1.61,0,0
 48-58,0,0,0,0,0.57,0,29.84,0,0,0.57,9.18,0,0,0,0,0,0,0,18.36,0,1.72,1.72,56.23,0,0.57,0.57,0,0,1.72,0,0,0,0,18.94,0,0.57,0,1.15
 60-70,0,0,0,0,0,0,27.48,0,0,0.98,8.83,0.98,0.98,0,0.98,0,0,0,15.7,0,1.96,4.91,26.5,0,0,0,0,0.98,1.96,0,0.98,0,0,2.94,0,0,0,0
 72-82,0,0,0.98,0,0,0,10.8,0,1.96,0,5.89,0,0,0,0,0.98,0,0.98,20.61,0,0,0.98,21.6,0,1.96,0,0,0,0.98,0,0,0,0,1.96,0.98,0.98,0,0
 84-94,0,0,1.06,0,3.19,0,10.62,0,0,0,4.25,1.06,0,1.06,0,0,2.12,0,12.74,0,0,1.06,13.81,0,0,1.06,0,0,0,0,0,0,0,1.06,0,2.12,0,0
 96-106,0,0,0,0,3.28,0,1.09,1.09,0,0,4.37,1.09,0,1.09,0,1.09,0,1.09,10.93,0,1.09,1.09,13.11,0,2.19,0,0,2.19,2.19,0,0,0,0,0,0,0,2.19,0
108-118,0,0,0,0,0,0,3.83,0,0,0.77,3.06,0,0,0,0.77,0,0,0,8.43,0.77,0,1.53,15.32,0,0,0.77,0,0.77,3.06,0,0,0,0,0,0,0.77,0,0.77
120,0,0,0,0,5.88,0,3.92,0,1.96,0,5.88,0,0,1.96,0,0,0,0,3.92,0,0,3.92,11.76,3.92,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0
