stage,blastomeres,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,immune,iridophores,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,303.09,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,122.59,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
 24-34,0,0.82,0,0.82,0,0,0,0,0,0.82,2.46,0,0,0,0,0,0,0.82,0.82,0.82,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,0,0,0.81,0,0
 48-58,0,1.72,0,1.72,1.15,0,0,0,0,0,3.44,0.57,0,0.57,0,0,0,0,0,0,0
 60-70,0,3.93,0,8.83,2.94,1.96,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,15.71,0,41.23,0,0,0,0,0,0,2.94,0,0,0.98,0,0,0,0,0,0.98,1.96
 84-94,0,15.93,0,48.85,0,0,0,0,1.06,0,2.12,1.06,0,2.12,0,1.06,0,0,0,0,1.06
 96-106,0,3.28,0,45.9,0,1.09,0,0,0,1.09,1.09,0,0,2.19,0,0,0,0,0,0,0
108-118,0,9.96,0,19.92,0,0,1.53,1.53,0,0,0,0,0,1.53,0,0,0,0,0,0,0
120,0,11.76,1.96,27.44,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
