stage,axial,blastomeres,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,spinal.cord,vascular.smooth.muscle
  3-4,13.18,856.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,12.26,165.5,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,10.51,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
 24-34,0,0,3.28,0,0,0,0.82,0,0,0,0,0,1.64,0,0,0,0,0,0.82,0
 36-46,0,0,7.25,0,1.61,0,0.81,0,0,0.81,0,0,1.61,0,0,0,0,0,0,0
 48-58,0,0,4.59,0,1.15,0.57,0.57,0,0,0,1.15,0,3.44,0,0,0,0,0,0.57,0
 60-70,0,0,2.94,0,6.87,0.98,7.85,0,0,0,0,0,11.78,0,0,0,0,0,0,0
 72-82,0,0,3.93,0,7.85,0,27.49,0,0,0,0.98,0,15.71,0,0.98,0,0,0,0,0
 84-94,0,0,1.06,0,7.43,1.06,21.24,0,0,0,1.06,0,10.62,0,0,0,0,0,1.06,0
 96-106,0,0,5.46,0,8.74,2.19,43.71,1.09,0,0,1.09,0,8.74,0,0,0,0,0,0,0
108-118,0,0,1.53,1.53,3.83,1.53,44.43,0,0.77,0,1.53,0,9.19,0,0,0,0,0,0,0.77
120,0,0,3.92,0,3.92,0,31.36,0,0,0,1.96,1.96,15.68,0,0,0,0,0,0,1.96
