stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,mesenchyme,neural,olfactory,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,7.39,0,0,1.64,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,22.56,0,0.81,1.61,0,0.81,0,0,0,0,0.81
 48-58,0,0,0,0,1.15,0,0,0.57,0,36.72,0,0.57,3.44,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,1.96,0,0,0.98,0,57.91,0,0,1.96,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,1.96,0.98,0,0,0,75.59,0,1.96,1.96,0,0,0,0,0,0,0
 84-94,0,0,0,2.12,1.06,0,1.06,0,0,125.32,1.06,1.06,3.19,0,0,0,0,0,0,0
 96-106,0,1.09,2.19,1.09,0,0,1.09,0,0,121.31,1.09,0,3.28,1.09,0,1.09,0,2.19,1.09,0
108-118,0,0,0,0,1.53,0,0,0,0,93.45,0.77,0.77,2.3,0,0,1.53,0.77,0,0.77,0
120,0,0,0,1.96,0,0,0,1.96,1.96,184.22,0,0,0,1.96,0,1.96,0,0,0,0
