stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,50.35,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,28.32,0,0,3.15,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,6,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,2,0,0,10,0,1,0,0,0,0,4,4,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,1.64,0,0,0,0,0,0,9.03,0,0,0,0,0,0.82,2.46,0,0,21.34,0.82,1.64,0,0,1.64,0,0,6.57,0,0,0,0
 36-46,0,0,0,0,0,0,0,8.06,1.61,0,0.81,0.81,0,0,4.03,0,0,0,0,0,0.81,4.03,1.61,3.22,24.98,0,0,0,0,1.61,0,0,13.7,0,0,0,0.81
 48-58,0,0,0,0,0,0.57,0,19.51,4.59,0,0.57,1.15,0,0,2.3,0,0,0,0.57,0,6.31,9.18,7.46,1.72,11.48,0.57,1.72,0,1.15,0,0,0,12.05,2.87,0,1.15,3.44
 60-70,0,0,0,0,0,0,0,31.41,1.96,0,0.98,8.83,0,0,0.98,0,0,0.98,1.96,0,3.93,25.52,47.11,0,22.58,0,0.98,0,0,0.98,0,0.98,5.89,40.24,0,29.45,4.91
 72-82,0,0,0,0,1.96,0,0,22.58,4.91,0,0,19.63,0.98,0,1.96,0,0,5.89,0,0.98,1.96,44.17,44.17,0.98,29.45,0,2.94,0,1.96,0,0,3.93,6.87,73.62,1.96,100.13,2.94
 84-94,0,0,0,0,2.12,1.06,0,37.17,15.93,0,0,15.93,0,0,1.06,1.06,0,5.31,2.12,0,13.81,25.49,54.16,1.06,20.18,0,5.31,0,2.12,2.12,0,1.06,5.31,81.78,1.06,118.95,3.19
 96-106,0,0,0,0,1.09,0,0,20.76,15.3,0,3.28,19.67,2.19,0,1.09,0,2.19,4.37,2.19,1.09,9.84,36.06,29.51,5.46,21.86,0,8.74,0,10.93,3.28,0,3.28,4.37,57.92,0,150.81,3.28
108-118,0,0,0.77,0,3.83,0.77,0,27.57,7.66,0.77,0.77,11.49,0.77,0,0,0,0,8.43,3.83,0,14.55,36,16.09,0.77,16.85,1.53,9.19,0,12.26,3.06,0,0.77,1.53,39.83,0.77,100.34,8.43
120,0,0,0,0,1.96,0,1.96,13.72,1.96,0,1.96,3.92,1.96,0,0,0,0,5.88,1.96,0,0,17.64,21.56,0,13.72,0,5.88,0,5.88,0,0,0,1.96,33.32,0,145.02,1.96
