stage,axial,blastomeres,endoderm,eye,fin_epithelia,glial,gut,hatching_gland,iridophores,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature
  5-6,12.26,18.39,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,5.26,0,76.23,0,0,0,0,34.17,0,0,0,28.92,0,10.51,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
 24-34,0,0,0,0.82,0,1.64,0,0,0,0.82,1.64,3.28,0.82,0,2.46,0,0,4.93,1.64
 36-46,0,0,0,1.61,0,3.22,0,0,0,0.81,0,2.42,0,0,1.61,0,0,3.22,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,1.72,0,0,0,0,0,2.3,0
 60-70,0,0,0,1.96,0,0.98,0,0,0.98,0,0,0,0,0,2.94,0,0,0,0
 72-82,0,0,0,0.98,0,0.98,0,0,0,1.96,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,2.12,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,2.19,1.09,0,2.19,0,0,1.09,1.09,2.19,0,0,1.09,0,0,0,0
108-118,0,0,0,3.83,0,0,0.77,0,0,1.53,0,0,0,0,3.83,0,0,0,0
120,0,0,0,1.96,0,0,1.96,0,0,1.96,0,1.96,0,0,5.88,1.96,0,0,0
