stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,4,0,0,0,0,1,0,2,0,0
 24-34,0,0.82,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0,4.1,0,0.82,0,0,0,0.82,3.28,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,2.42,0,0,0,0,0
 48-58,0,0,0,1.72,0,0,0,0,0,0,0,0,0,0,0,8.61,0,1.15,0.57,0,0,0,0,0,0
 60-70,0,0.98,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0,3.93,0,0.98,0,0.98,0,0,0,0,0
 72-82,0,0,0,3.93,0,2.94,0.98,0,1.96,2.94,0.98,0,1.96,0.98,0,4.91,0,0.98,0,0.98,0,0,1.96,0,0
 84-94,0,0,0,5.31,0,3.19,3.19,0,0,1.06,0,0,1.06,0,0,1.06,0,1.06,0,1.06,0,0,0,0,0
 96-106,1.09,1.09,1.09,0,0,0,1.09,0,0,3.28,1.09,0,1.09,0,1.09,4.37,0,1.09,0,1.09,0,0,0,0,0
108-118,0,1.53,0,1.53,0,1.53,2.3,0,1.53,5.36,0,0.77,1.53,0,0,3.83,0,0.77,0,1.53,0,0,0.77,0,0
120,0,5.88,0,0,0,0,3.92,0,0,7.84,3.92,0,1.96,0,0,5.88,1.96,0,1.96,5.88,0,0,1.96,1.96,1.96
