stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,12.59,0,0,9.44,0,0,3.15,0,0
 14-21,0,0,2,2,2,0,7,0,0,0,1,0,0,0,0,0,4,0,0,0,20,0,0,2,0,1,10,5,0
 24-34,0,0,0,0.82,0,0,3.28,0,0,0,0,0,0,0,0,1.64,0,0,0,0.82,22.16,0.82,0,0,0,0,18.06,3.28,1.64
 36-46,0,0,0,0,0,0,4.83,0,0,0.81,0,0,0,0,0,0,1.61,0,0,0,9.67,0,0,0,0,0,11.28,4.03,0
 48-58,0,0,0,0.57,0,0,6.89,0,1.15,0.57,0,0,0,0,0,0.57,1.15,0,0.57,1.15,10.33,0,0,0,0,0,5.16,2.3,0
 60-70,0,0,0,0,0,0,19.63,0,1.96,0,0,0,0,0,0,0,2.94,0,0,0,27.48,0,0,0,0,0,8.83,4.91,0
 72-82,0,0,0,1.96,0,0,10.8,0,1.96,2.94,0,0,0.98,0,0,1.96,2.94,0.98,0,0.98,26.5,0,0,0,0,0,12.76,2.94,0
 84-94,0,0,0,5.31,0,0,7.43,0,3.19,5.31,0,0,0,0,1.06,5.31,5.31,0,0,2.12,12.74,0,0,0,0,0,33.99,3.19,0
 96-106,0,1.09,0,4.37,0,0,4.37,1.09,5.46,2.19,0,1.09,2.19,0,0,5.46,0,0,0,1.09,8.74,1.09,0,0,3.28,0,26.23,1.09,0
108-118,0,0,0.77,6.13,0,1.53,9.96,0,3.06,9.19,0,0,3.83,1.53,0.77,10.72,3.83,0,0,1.53,17.62,0,0.77,0,1.53,0,26.04,2.3,0.77
120,0,0,0,9.8,0,0,5.88,0,0,9.8,0,0,3.92,0,0,3.92,3.92,0,0,1.96,7.84,0,0,0,7.84,0,17.64,0,0
