stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,15.73,0,0,0,18.88,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1164,31,0,4,0,26,0,1,0,2,0,1,1,0,0,1,0,281,5,0,441,96,5,1,0,1,0,3,30,7,6,1331,39,0,0,2,0,0
 24-34,0,0,1.64,3.28,1826.4,13.13,0,111.64,163.35,157.6,39.4,18.88,3.28,2.46,17.24,3.28,12.31,0.82,13.95,3.28,4.1,1319.12,33.66,0.82,888.99,940.7,17.24,12.31,9.85,0.82,0.82,70.59,3.28,9.85,7.39,671.46,218.35,0,0,41.04,0,4.1
 36-46,0,0,0,0,1124.71,4.03,0,176.44,180.47,234.45,116.02,49.15,1.61,0.81,26.59,8.06,4.03,5.64,21.75,4.03,9.67,1710.44,18.53,17.72,642.12,1045.76,12.09,12.09,3.22,0,0.81,61.23,5.64,4.03,13.7,29,230.42,0,3.22,23.36,0.81,10.47
 48-58,0.57,0,0,0,1056.37,15.49,0,490.6,48.2,309.28,157.8,138.86,1.15,1.72,39.02,9.75,4.59,3.44,6.89,4.59,9.75,2359.49,17.79,57.38,453.88,1448.28,12.05,11.48,10.9,0.57,5.74,56.81,0.57,1.15,10.9,0.57,313.87,0,8.61,24.1,0.57,33.28
 60-70,0.98,0,0,0.98,1105.19,9.82,0,575.17,19.63,318.99,196.3,107.97,5.89,0,35.33,15.7,9.82,2.94,8.83,2.94,3.93,2976.96,23.56,97.17,318.01,990.36,9.82,15.7,3.93,0,15.7,64.78,0,3.93,8.83,0,138.39,2.94,52.02,17.67,28.46,15.7
 72-82,0,0,4.91,0,1121.06,54.97,1.96,759.81,18.65,291.55,304.32,158.05,23.56,0,48.1,12.76,21.6,10.8,9.82,5.89,8.83,3855.97,19.63,134.49,403.46,1026.82,5.89,34.36,16.69,0,20.61,86.39,0.98,5.89,1.96,0,96.2,12.76,115.84,45.16,99.15,34.36
 84-94,0,0,0,0,2011.5,33.99,5.31,688.2,7.43,524.65,219.84,120.01,23.36,2.12,37.17,20.18,30.8,11.68,7.43,8.5,2.12,3041.68,30.8,154,329.23,450.3,11.68,38.23,11.68,0,12.74,109.39,0,8.5,4.25,0,61.6,19.12,112.58,32.92,104.08,7.43
 96-106,1.09,0,4.37,1.09,2527.75,87.43,22.95,627.29,18.58,559.54,221.85,153,64.48,0,66.66,45.9,43.71,14.21,17.49,37.16,4.37,2908.07,52.46,119.12,290.7,715.81,7.65,54.64,13.11,0,43.71,214.2,0,16.39,4.37,0,20.76,26.23,90.71,65.57,130.05,17.49
108-118,0,0,3.06,0.77,2544.53,55.92,15.32,321.7,7.66,763.67,208.34,119.49,44.43,0,27.57,22.21,33.7,10.72,7.66,18.38,3.83,2903,26.04,104.94,279.58,643.41,7.66,44.43,11.49,0,46.72,102.64,0,9.19,0.77,0,17.62,22.98,83.49,32.94,86.55,12.26
120,1.96,0,3.92,0,1971.54,54.87,9.8,292.01,5.88,568.34,246.93,68.59,35.28,0,29.4,17.64,23.52,0,15.68,11.76,0,2626.11,31.36,101.91,274.37,566.38,25.48,35.28,13.72,1.96,35.28,90.15,0,5.88,0,0,21.56,7.84,66.63,29.4,125.43,5.88
