stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,896.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,24.52,980.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,7.89,5.26,0,26.29,0,0,0,26.29,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,278.64,5.26,0,0,115.66,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.61,0,0,0,28.32,0,0,0,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,0,2,18,4,0,8,0,0,4,3,0,0,0,1,0,0,1,1,10,0,4,210,3,1,3,3,0,3,29,0,1,14,51,0,1,0,0
 24-34,0,0,0,0.82,3.28,0,0,20.52,0,0.82,5.75,0,0,0,0,0,0.82,0,0.82,1.64,13.13,0.82,3.28,142.01,0,1.64,1.64,0,0,0.82,0,1.64,0,3.28,32.01,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,24.17,0,0,6.45,0,0,0,0,0,0.81,0,0,0,7.25,0.81,2.42,128.91,0,0.81,1.61,0,0,2.42,0,0,0,0,32.23,0,0.81,0,0
 48-58,0,0,0,0,2.87,0,0,30.41,0,1.15,8.03,0,0,0,0,0,0.57,0,0.57,0,14.35,1.15,1.15,55.09,0,0.57,0,0,0,0.57,0,0,0,0,16.64,0,2.3,0,0
 60-70,0,0,0,0,1.96,0,0,25.52,0,0.98,11.78,0,0,0,0,0,0,0.98,0,0,16.69,0,0,58.89,0,0,0,0,0.98,0,0,0,0,0,6.87,0,2.94,0,0
 72-82,0,0,0.98,0,1.96,0,0,29.45,0,0,11.78,0,0,0.98,1.96,1.96,0.98,0.98,0,0.98,20.61,1.96,0,44.17,0,0,1.96,0,0,1.96,0,0,0,0,4.91,0.98,2.94,0,0.98
 84-94,0,0,0,0,4.25,0,0,4.25,0,0,3.19,1.06,0,1.06,1.06,1.06,0,0,0,0,13.81,0,3.19,19.12,1.06,2.12,0,0,0,3.19,0,0,0,0,2.12,0,0,1.06,0
 96-106,0,0,0,0,2.19,0,0,7.65,1.09,0,4.37,0,0,2.19,2.19,0,1.09,0,1.09,0,6.56,0,1.09,21.86,0,0,0,0,0,2.19,0,0,0,0,3.28,0,1.09,0,2.19
108-118,0,0,0,0,0.77,0,0.77,7.66,0,0,6.89,0,0,0,2.3,0,0.77,0,0,0,5.36,0,3.83,31.4,0,1.53,0.77,0,0,2.3,0,0,0,0,0.77,0,1.53,0,0
120,1.96,0,0,0,0,0,0,9.8,0,0,5.88,0,0,0,5.88,0,0,0,0,0,5.88,0,3.92,25.48,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
