stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,6.13,386.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,7.89,13.14,21.03,0,0,26.29,0,0,0,13.14,0,0,0,0,0,0,0,0,197.15,7.89,0,0,73.6,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,6.29,18.88,0,3.15,28.32,0,0,0,0,0,0,0,0,0,0,0,0,223.43,3.15,0,0,78.67,0,6.29,0,15.73,0,0,0,0,0,0
 14-21,0,0,1,15,6,12,0,17,0,0,0,0,3,0,10,0,0,8,198,1,1,8,6,1,1,27,5,11,93,0,2,0,0
 24-34,0,0,0.82,2.46,1.64,38.58,0,7.39,0.82,0,0,0,0.82,0,25.45,0,0,6.57,221.63,0,2.46,1.64,0,2.46,0,0,0.82,0.82,55,0,1.64,0,0
 36-46,0,0,0,0.81,0,70.9,0.81,1.61,0,0,0,0,0,0,13.7,0,0.81,1.61,107.96,0,0.81,0,0,0.81,0,0,0.81,0,25.78,0,1.61,0,0.81
 48-58,0,0,0,1.15,0,54.51,0,4.02,0,0,0,0,0,0,13.77,0.57,2.3,1.72,32.71,0.57,1.15,0,0,0.57,0,0,0,0,6.89,0,1.15,0,0
 60-70,0,0,0,3.93,0,36.32,0,2.94,0,0,0,0,0,0.98,6.87,0,0.98,0.98,13.74,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,3.93,0,16.69,0,6.87,0,0,0,0,0,0,11.78,0,0,0.98,20.61,0,0.98,0.98,0,0.98,0,0,0.98,0,1.96,0,0.98,0,0.98
 84-94,0,0,0,1.06,1.06,12.74,0,6.37,0,0,1.06,1.06,1.06,0,18.05,0,0,2.12,18.05,0,2.12,0,0,2.12,0,0,0,0,0,1.06,1.06,0,0
 96-106,0,0,0,1.09,0,10.93,0,1.09,0,0,0,0,0,2.19,7.65,0,0,2.19,8.74,1.09,0,3.28,0,1.09,0,0,0,0,0,0,0,2.19,1.09
108-118,0,0,0,3.83,0,17.62,0,5.36,0,0,0,0.77,0.77,0,8.43,0,0,0.77,22.98,0,1.53,1.53,0,3.06,0,0,0.77,0,2.3,0.77,0.77,0,0.77
120,0,0,0,7.84,1.96,3.92,0,11.76,0,0,0,0,0,1.96,3.92,0,0,0,19.6,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0
