stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,28.92,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,5,1,3,0,0,2,0,0,0,0,0,0,0,6,0,3,61,0,1,0,1,0,11,1,0,10,32,0,0,0
 24-34,0,0.82,0,2.46,0,6.57,0.82,0.82,0.82,0.82,0,0,0.82,0,0.82,0.82,8.21,0,0,71.41,1.64,0.82,0,0,2.46,0,0,0,0.82,27.09,0,2.46,0
 36-46,0,0,0,0,0,13.7,0,0.81,5.64,0,0,0,0,0,0,0,8.06,0.81,2.42,100.71,0,0,0,0,0.81,0,0,0,0,29,0,0,0
 48-58,0,0,0,0.57,0,13.2,0,0,4.59,0,0,0,0,0,0,0,10.33,0,1.72,49.35,0,0,0.57,0,0.57,0,0,0.57,0,12.62,0,0,0
 60-70,0,0,0,1.96,0,39.26,0,0,6.87,0,0,0.98,0,0,0,0,13.74,0.98,1.96,115.82,0,0,0,0,0.98,0,0,0,0,13.74,0,0.98,0
 72-82,0,0,0,0,2.94,28.47,0,0,3.93,0,0,0,0.98,0,0,0,17.67,0.98,0.98,68.72,0,0,0,0,1.96,0,0,0,0,2.94,0,0,0
 84-94,0,0,0,1.06,1.06,21.24,1.06,0,1.06,0,0,0,0,0,0,0,9.56,0,5.31,31.86,0,0,0,0,3.19,0,0,0,0,6.37,1.06,1.06,0
 96-106,0,0,0,0,4.37,10.93,1.09,0,6.56,0,0,0,0,0,0,0,6.56,1.09,0,25.14,0,1.09,0,0,4.37,0,0,0,0,2.19,0,0,0
108-118,0,0.77,0,3.06,1.53,13.79,0.77,0.77,3.06,0,0,0,0.77,0.77,0,0,11.49,0,0.77,29.87,0,0.77,0.77,0,0.77,0,0,0,0,0.77,0,0.77,0.77
120,0,0,0,1.96,0,1.96,0,0,1.96,0,0,0,0,0,1.96,0,7.84,0,3.92,29.4,0,1.96,1.96,0,0,0,0,0,0,0,0,1.96,0
