stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,melanocytes,mesenchyme,muscle,neural,notochord,periderm,spinal.cord,vascular.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0
 36-46,0,0,0,1.61,0,0,0,0,0.81,0,2.42,1.61,0,0.81,0
 48-58,0,0,0,0,0,0,0,0,0.57,0,1.15,5.74,0,0,0
 60-70,0,0,0,4.91,0,0,0,0,1.96,0,3.93,6.87,0,0,0
 72-82,0,0.98,0,15.71,0.98,2.94,0,0,0.98,3.93,3.93,3.93,0,0,0
 84-94,0,0,0,24.43,0,1.06,0,1.06,4.25,4.25,1.06,11.68,0,0,0
 96-106,1.09,1.09,0,17.49,0,2.19,0,0,3.28,0,0,4.37,0,0,0
108-118,0,0,0.77,15.32,0,0.77,0.77,0,3.83,0.77,0.77,6.13,0.77,0,0.77
120,0,0,0,9.8,0,0,0,0,3.92,0,1.96,7.84,0,0,0
