stage,epidermis,eye,glial,gut,immune,ionocyte,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord
  5-6,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,3,0,0,0,0,1,4
 24-34,0,0,0.82,0,0,0,0,0,21.34,0,0,0,0,0,5.75
 36-46,0,0.81,0.81,0,0,0,0,0,48.34,0,0,0,0,0,9.67
 48-58,0,3.44,1.15,0,0,0,0,0,59.1,0,0.57,0,0,0,9.75
 60-70,0,10.8,0,0,0.98,0,0.98,0.98,87.36,0.98,0,0,0,0,19.63
 72-82,0,13.74,0,0,0,0.98,0,0,77.55,0,0,0,0,0,11.78
 84-94,0,9.56,4.25,0,0,0,0,0,53.1,1.06,0,0,1.06,0,4.25
 96-106,0,5.46,4.37,0,0,0,0,0,49.18,1.09,0,0,0,0,3.28
108-118,0.77,7.66,0.77,0,0,0,0.77,0.77,54.38,0,0.77,0,0,0,1.53
120,0,7.84,3.92,1.96,0,0,3.92,0,70.55,0,0,0,0,0,0
