stage,epidermis,erythrocytes,eye,fast.muscle,glial,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,periderm,pronephros,spinal.cord,vascular.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.46,0,0.82,0,0,0,0
 36-46,0,0,0.81,0,0.81,0,0,0,0,7.25,0,0,0,0,0,0
 48-58,0,0,0.57,0,1.72,0,0,0,0,11.48,0,0,0,0,0,0
 60-70,0,0,17.67,0,1.96,0,0,0.98,0,49.08,0.98,0,0,0,3.93,0
 72-82,0,0,43.19,0,0.98,0,0,2.94,0,63.81,0,0.98,0,0,2.94,0
 84-94,0,1.06,26.55,0,5.31,0,0,1.06,0,33.99,0,0,1.06,1.06,3.19,0
 96-106,2.19,0,42.62,0,2.19,0,0,1.09,0,28.41,0,0,1.09,0,1.09,1.09
108-118,1.53,0,46.72,0.77,3.06,0,0,0,0,35.23,0,0,0,0.77,0.77,0
120,1.96,0,43.12,0,3.92,1.96,1.96,0,1.96,68.59,0,0,1.96,0,3.92,0
