stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,10.51,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,99.89,2.63,0,0,55.2,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,0,0,31.47,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,138.47,9.44,0,0,59.79,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,7,2,0,2,0,0,3,0,0,0,0,0,0,0,0,2,0,0,3,38,2,1,0,0,0,1,0,6,16,0,9,41,0,0,0,0
 24-34,0,0,0,0.82,4.1,0,0,5.75,0,0,2.46,0,0,0,0,2.46,0.82,0,0,5.75,0,0,1.64,41.86,0,2.46,2.46,0,0,4.1,0,0,62.39,0,1.64,46.79,0,0.82,0,0
 36-46,0,0,0,0,1.61,0,0,3.22,0,0.81,0.81,0,0,0.81,0,0.81,0,0.81,0,3.22,0,0,0,74.12,0,4.83,0.81,0,0,0,0,0,38.67,0,0,33.84,0,0,0,0
 48-58,0,0,0,0,0.57,0.57,0,16.64,0,8.03,1.72,0.57,0,0,0,0.57,0,0,0,5.74,0.57,0,0.57,86.64,0,7.46,1.15,0,0,1.15,0,0,26.4,0,0,21.23,0,0,0,0.57
 60-70,0,0,0,0,0.98,0,0,153.12,0,8.83,0,0,0.98,0,0.98,0,0,0,0,3.93,0,0.98,0.98,147.23,0,5.89,0,0,0,0.98,0,0,33.37,0.98,0,20.61,0.98,0.98,0.98,0
 72-82,0,0,0,0,2.94,0,0,296.46,0,5.89,13.74,0.98,0.98,0,0.98,0,0.98,0,0,10.8,0,1.96,0,236.58,0,18.65,0,0,2.94,1.96,0,0,57.92,0,0,15.71,8.83,0,4.91,0
 84-94,0,0,0,0,5.31,1.06,0,214.53,0,7.43,7.43,2.12,0,0,0,0,1.06,0,0,11.68,1.06,1.06,0,130.63,0,7.43,1.06,0,0,1.06,0,0,104.08,0,0,6.37,7.43,2.12,4.25,1.06
 96-106,0,0,0,0,5.46,4.37,0,216.38,0,0,12.02,3.28,0,1.09,3.28,3.28,4.37,2.19,1.09,19.67,1.09,4.37,0,137.7,0,17.49,2.19,0,3.28,2.19,0,0,104.91,0,0,5.46,10.93,3.28,3.28,1.09
108-118,0,0,0.77,0,4.6,2.3,0.77,206.81,0.77,3.06,13.02,1.53,0,0,11.49,6.89,2.3,0,2.3,15.32,0,3.83,0.77,165.45,0,19.92,3.06,0,2.3,1.53,0,0,105.7,0,0,6.89,9.19,0,3.83,0
120,0,0,0,0,5.88,0,0,129.35,0,3.92,5.88,0,0,0,15.68,3.92,3.92,0,0,17.64,0,5.88,0,180.3,0,13.72,5.88,0,1.96,3.92,0,0,64.67,0,0,3.92,13.72,0,3.92,0
